"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","2,104"
"1/1/2007","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","649"
"1/1/2007","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","265"
"1/1/2007","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","830"
"1/1/2007","AL","AL-504","Montgomery City & County CoC","Total Homeless","456"
"1/1/2007","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","119"
"1/1/2007","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","345"
"1/1/2007","AL","AL-507","Alabama Balance of State CoC","Total Homeless","684"
"1/1/2008","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","2,104"
"1/1/2008","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","524"
"1/1/2008","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","249"
"1/1/2008","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","714"
"1/1/2008","AL","AL-504","Montgomery City & County CoC","Total Homeless","444"
"1/1/2008","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","298"
"1/1/2008","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","196"
"1/1/2008","AL","AL-507","Alabama Balance of State CoC","Total Homeless","858"
"1/1/2009","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","2,273"
"1/1/2009","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","747"
"1/1/2009","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","281"
"1/1/2009","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","664"
"1/1/2009","AL","AL-504","Montgomery City & County CoC","Total Homeless","377"
"1/1/2009","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","433"
"1/1/2009","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","270"
"1/1/2009","AL","AL-507","Alabama Balance of State CoC","Total Homeless","1,035"
"1/1/2010","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","2,273"
"1/1/2010","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","883"
"1/1/2010","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","170"
"1/1/2010","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","819"
"1/1/2010","AL","AL-504","Montgomery City & County CoC","Total Homeless","444"
"1/1/2010","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","370"
"1/1/2010","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","278"
"1/1/2010","AL","AL-507","Alabama Balance of State CoC","Total Homeless","809"
"1/1/2011","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","1,950"
"1/1/2011","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","718"
"1/1/2011","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","244"
"1/1/2011","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","656"
"1/1/2011","AL","AL-504","Montgomery City & County CoC","Total Homeless","433"
"1/1/2011","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","495"
"1/1/2011","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","265"
"1/1/2011","AL","AL-507","Alabama Balance of State CoC","Total Homeless","797"
"1/1/2012","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","1,707"
"1/1/2012","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","634"
"1/1/2012","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","192"
"1/1/2012","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","607"
"1/1/2012","AL","AL-504","Montgomery City & County CoC","Total Homeless","487"
"1/1/2012","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","544"
"1/1/2012","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","152"
"1/1/2012","AL","AL-507","Alabama Balance of State CoC","Total Homeless","886"
"1/1/2013","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","1,469"
"1/1/2013","AL","AL-501","Mobile City & County/Baldwin County CoC","Total Homeless","493"
"1/1/2013","AL","AL-502","Florence/Northwest Alabama CoC","Total Homeless","223"
"1/1/2013","AL","AL-503","Huntsville/North Alabama CoC","Total Homeless","586"
"1/1/2013","AL","AL-504","Montgomery City & County CoC","Total Homeless","515"
"1/1/2013","AL","AL-505","Gadsden/Northeast Alabama CoC","Total Homeless","399"
"1/1/2013","AL","AL-506","Tuscaloosa City & County CoC","Total Homeless","99"
"1/1/2013","AL","AL-507","Alabama Balance of State CoC","Total Homeless","905"
"1/1/2014","AL","AL-500","Birmingham/Jefferson, St. Clair, Shelby Counties CoC","Total Homeless","1,329"
