"","state","location","both_sexes_2012"
"1","Arkansas","Arkansas",14.6
"2","Arkansas","Arkansas County",14.6
"3","Arkansas","Ashley County",12.4
"4","Arkansas","Baxter County",17.5
"5","Arkansas","Benton County",14.3
"6","Arkansas","Boone County",13
"7","Arkansas","Bradley County",12.1
"8","Arkansas","Calhoun County",15.7
"9","Arkansas","Carroll County",16.9
"10","Arkansas","Chicot County",12.6
"11","Arkansas","Clark County",12.9
"12","Arkansas","Clay County",13.7
"13","Arkansas","Cleburne County",15.1
"14","Arkansas","Cleveland County",15.1
"15","Arkansas","Columbia County",13.4
"16","Arkansas","Conway County",19.2
"17","Arkansas","Craighead County",12.9
"18","Arkansas","Crawford County",13.3
"19","Arkansas","Crittenden County",12.8
"20","Arkansas","Cross County",13.6
"21","Arkansas","Dallas County",15.9
"22","Arkansas","Desha County",14.8
"23","Arkansas","Drew County",13.4
"24","Arkansas","Faulkner County",14.2
"25","Arkansas","Franklin County",18.2
"26","Arkansas","Fulton County",13
"27","Arkansas","Garland County",17.5
"28","Arkansas","Grant County",13.3
"29","Arkansas","Greene County",13.9
"30","Arkansas","Hempstead County",13
"31","Arkansas","Hot Spring County",13.5
"32","Arkansas","Howard County",12.8
"33","Arkansas","Independence County",13.8
"34","Arkansas","Izard County",13.5
"35","Arkansas","Jackson County",15
"36","Arkansas","Jefferson County",14.8
"37","Arkansas","Johnson County",14.3
"38","Arkansas","Lafayette County",13
"39","Arkansas","Lawrence County",13.1
"40","Arkansas","Lee County",14.1
"41","Arkansas","Lincoln County",13.3
"42","Arkansas","Little River County",13.1
"43","Arkansas","Logan County",13.8
"44","Arkansas","Lonoke County",14.3
"45","Arkansas","Madison County",13.7
"46","Arkansas","Marion County",15.5
"47","Arkansas","Miller County",16.4
"48","Arkansas","Mississippi County",12.6
"49","Arkansas","Monroe County",13.3
"50","Arkansas","Montgomery County",13.2
"51","Arkansas","Nevada County",13.1
"52","Arkansas","Newton County",13.4
"53","Arkansas","Ouachita County",14.4
"54","Arkansas","Perry County",15.1
"55","Arkansas","Phillips County",14
"56","Arkansas","Pike County",13.8
"57","Arkansas","Poinsett County",14.2
"58","Arkansas","Polk County",14.3
"59","Arkansas","Pope County",14.1
"60","Arkansas","Prairie County",14.5
"61","Arkansas","Pulaski County",16
"62","Arkansas","Randolph County",13.8
"63","Arkansas","Saline County",14
"64","Arkansas","Scott County",12.8
"65","Arkansas","Searcy County",13.4
"66","Arkansas","Sebastian County",15.1
"67","Arkansas","Sevier County",12.7
"68","Arkansas","Sharp County",13.6
"69","Arkansas","St. Francis County",13.5
"70","Arkansas","Stone County",13.7
"71","Arkansas","Union County",13.1
"72","Arkansas","Van Buren County",14.8
"73","Arkansas","Washington County",15.5
"74","Arkansas","White County",13.1
"75","Arkansas","Woodruff County",15.7
"76","Arkansas","Yell County",13.6
