"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","2,997"
"1/1/2007","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","3,201"
"1/1/2007","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","8,448"
"1/1/2008","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","2,940"
"1/1/2008","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","2,359"
"1/1/2008","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","7,189"
"1/1/2009","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","3,236"
"1/1/2009","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","3,596"
"1/1/2009","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","7,889"
"1/1/2010","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","3,069"
"1/1/2010","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","3,643"
"1/1/2010","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","6,999"
"1/1/2011","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","2,047"
"1/1/2011","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","2,626"
"1/1/2011","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","5,831"
"1/1/2012","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","2,451"
"1/1/2012","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","2,366"
"1/1/2012","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","6,485"
"1/1/2013","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","2,435"
"1/1/2013","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","2,238"
"1/1/2013","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","5,889"
"1/1/2014","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","2,398"
"1/1/2014","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","2,179"
"1/1/2014","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","5,918"
"1/1/2015","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","2,402"
"1/1/2015","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","1,863"
"1/1/2015","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","5,631"
"1/1/2016","AZ","AZ-500","Arizona Balance of State CoC","Total Homeless","2,240"
"1/1/2016","AZ","AZ-501","Tucson/Pima County CoC","Total Homeless","1,765"
"1/1/2016","AZ","AZ-502","Phoenix/Mesa/Maricopa County Regional CoC","Total Homeless","5,702"
