"","state","location","both_sexes_2012"
"1","Arizona","Apache County",17.8
"2","Arizona","Arizona",18.1
"3","Arizona","Cochise County",17.9
"4","Arizona","Coconino County",17.8
"5","Arizona","Gila County",19.4
"6","Arizona","Graham County",14.9
"7","Arizona","Greenlee County",18.6
"8","Arizona","La Paz County",22.7
"9","Arizona","Maricopa County",17.9
"10","Arizona","Mohave County",20.7
"11","Arizona","Navajo County",14.9
"12","Arizona","Pima County",17.8
"13","Arizona","Pinal County",19.3
"14","Arizona","Santa Cruz County",21.1
"15","Arizona","Yavapai County",17.3
"16","Arizona","Yuma County",19.5
