"","state","location","both_sexes_2012"
"1","Alabama","Alabama",13.4
"2","Alabama","Autauga County",13.2
"3","Alabama","Baldwin County",16.9
"4","Alabama","Barbour County",12.4
"5","Alabama","Bibb County",11.4
"6","Alabama","Blount County",10.3
"7","Alabama","Bullock County",14.1
"8","Alabama","Butler County",12
"9","Alabama","Calhoun County",11.8
"10","Alabama","Chambers County",13.4
"11","Alabama","Cherokee County",9.8
"12","Alabama","Chilton County",10.8
"13","Alabama","Choctaw County",10.5
"14","Alabama","Clarke County",11.5
"15","Alabama","Clay County",9.9
"16","Alabama","Cleburne County",10.3
"17","Alabama","Coffee County",13
"18","Alabama","Colbert County",11.9
"19","Alabama","Conecuh County",13.4
"20","Alabama","Coosa County",11.6
"21","Alabama","Covington County",12.7
"22","Alabama","Crenshaw County",10.8
"23","Alabama","Cullman County",9.6
"24","Alabama","Dale County",12.8
"25","Alabama","Dallas County",13.1
"26","Alabama","DeKalb County",9.7
"27","Alabama","Elmore County",13.4
"28","Alabama","Escambia County",12.2
"29","Alabama","Etowah County",12.4
"30","Alabama","Fayette County",10.3
"31","Alabama","Franklin County",9.5
"32","Alabama","Geneva County",12
"33","Alabama","Greene County",12.2
"34","Alabama","Hale County",12
"35","Alabama","Henry County",12.2
"36","Alabama","Houston County",14.1
"37","Alabama","Jackson County",10.4
"38","Alabama","Jefferson County",14.6
"39","Alabama","Lamar County",8.7
"40","Alabama","Lauderdale County",11.1
"41","Alabama","Lawrence County",8.6
"42","Alabama","Lee County",15.4
"43","Alabama","Limestone County",10.8
"44","Alabama","Lowndes County",13.2
"45","Alabama","Macon County",13.9
"46","Alabama","Madison County",13.5
"47","Alabama","Marengo County",12
"48","Alabama","Marion County",9.3
"49","Alabama","Marshall County",12.8
"50","Alabama","Mobile County",16.5
"51","Alabama","Monroe County",10.9
"52","Alabama","Montgomery County",16.2
"53","Alabama","Morgan County",11.9
"54","Alabama","Perry County",13.5
"55","Alabama","Pickens County",9.7
"56","Alabama","Pike County",13.9
"57","Alabama","Randolph County",11.6
"58","Alabama","Russell County",12.4
"59","Alabama","Shelby County",13.7
"60","Alabama","St. Clair County",11.4
"61","Alabama","Sumter County",13.5
"62","Alabama","Talladega County",11.6
"63","Alabama","Tallapoosa County",12.5
"64","Alabama","Tuscaloosa County",14.2
"65","Alabama","Walker County",10.5
"66","Alabama","Washington County",9.4
"67","Alabama","Wilcox County",14.2
"68","Alabama","Winston County",10.8
