"","state","location","both_sexes_2012"
"1","Alaska","Alaska",18.5
"2","Alaska","Aleutians East Borough",27.6
"3","Alaska","Aleutians West Census Area",23.2
"4","Alaska","Anchorage Municipality",18
"5","Alaska","Bethel Census Area",17.6
"6","Alaska","Bristol Bay Borough",23.5
"7","Alaska","Denali Borough, Yukon-Koyukuk Census Area",20.2
"8","Alaska","Dillingham Census Area",20.3
"9","Alaska","Fairbanks North Star Borough",17.6
"10","Alaska","Haines Borough",21.6
"11","Alaska","Hoonah-Angoon Census Area, Skagway Municipality, Yakutat City and Borough",22.2
"12","Alaska","Juneau City and Borough",20.3
"13","Alaska","Kenai Peninsula Borough",19.1
"14","Alaska","Ketchikan Gateway Borough, Petersburg Census Area, Prince of Wales-Hyder Census Area, Wrangell City and Borough",21
"15","Alaska","Kodiak Island Borough",20.9
"16","Alaska","Lake and Peninsula Borough",20.5
"17","Alaska","Matanuska-Susitna Borough",17.7
"18","Alaska","Nome Census Area",18.8
"19","Alaska","North Slope Borough",19.7
"20","Alaska","Northwest Arctic Borough",14.6
"21","Alaska","Sitka City and Borough",19
"22","Alaska","Southeast Fairbanks Census Area",18.4
"23","Alaska","Valdez-Cordova Census Area",21.1
"24","Alaska","Wade Hampton Census Area",16.2
