"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2012","CA","CA-500","San Jose/Santa Clara City & County CoC","Total Homeless","7,053"
"1/1/2012","CA","CA-501","San Francisco CoC","Total Homeless","5,895"
"1/1/2012","CA","CA-502","Oakland/Alameda County CoC","Total Homeless","4,257"
"1/1/2012","CA","CA-503","Sacramento City & County CoC","Total Homeless","2,812"
"1/1/2012","CA","CA-504","Santa Rosa/Petaluma/Sonoma County CoC","Total Homeless","4,483"
"1/1/2012","CA","CA-505","Richmond/Contra Costa County CoC","Total Homeless","2,386"
"1/1/2012","CA","CA-506","Salinas/Monterey, San Benito Counties CoC","Total Homeless","2,673"
"1/1/2012","CA","CA-507","Marin County CoC","Total Homeless","725"
"1/1/2012","CA","CA-508","Watsonville/Santa Cruz City & County CoC","Total Homeless","2,735"
"1/1/2012","CA","CA-509","Mendocino County CoC","Total Homeless","1,441"
"1/1/2012","CA","CA-510","Turlock/Modesto/Stanislaus County CoC","Total Homeless","1,470"
"1/1/2012","CA","CA-511","Stockton/San Joaquin County CoC","Total Homeless","1,569"
"1/1/2012","CA","CA-512","Daly/San Mateo County CoC","Total Homeless","1,845"
"1/1/2012","CA","CA-513","Visalia, Kings, Tulare Counties CoC","Total Homeless","771"
"1/1/2012","CA","CA-514","Fresno/Madera County CoC","Total Homeless","4,492"
"1/1/2012","CA","CA-515","Roseville/Rocklin/Placer, Nevada Counties CoC","Total Homeless","742"
"1/1/2012","CA","CA-516","Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Total Homeless","524"
"1/1/2012","CA","CA-517","Napa City & County CoC","Total Homeless","248"
"1/1/2012","CA","CA-518","Vallejo/Solano County CoC","Total Homeless","622"
"1/1/2012","CA","CA-519","Chico/Paradise/Butte County CoC","Total Homeless","897"
"1/1/2012","CA","CA-520","Merced City & County CoC","Total Homeless","502"
"1/1/2012","CA","CA-521","Davis/Woodland/Yolo County CoC","Total Homeless","513"
"1/1/2012","CA","CA-522","Humboldt County CoC","Total Homeless","846"
"1/1/2012","CA","CA-523","Colusa, Glenn, Trinity Counties CoC","Total Homeless","303"
"1/1/2012","CA","CA-524","Yuba City & County/Sutter County CoC","Total Homeless","492"
"1/1/2012","CA","CA-525","El Dorado County CoC","Total Homeless","217"
"1/1/2012","CA","CA-526","Amador, Calaveras, Tuolumne and Mariposa Counties CoC","Total Homeless","379"
"1/1/2012","CA","CA-528","Del Norte County CoC","Total Homeless","437"
"1/1/2012","CA","CA-600","Los Angeles City & County CoC","Total Homeless","31,553"
"1/1/2012","CA","CA-601","San Diego City and County CoC","Total Homeless","10,013"
"1/1/2012","CA","CA-602","Santa Ana/Anaheim/Orange County CoC","Total Homeless","7,010"
"1/1/2012","CA","CA-603","Santa Maria/Santa Barbara County CoC","Total Homeless","1,546"
"1/1/2012","CA","CA-604","Bakersfield/Kern County CoC","Total Homeless","1,352"
"1/1/2012","CA","CA-606","Long Beach CoC","Total Homeless","3,170"
"1/1/2012","CA","CA-607","Pasadena CoC","Total Homeless","904"
"1/1/2012","CA","CA-608","Riverside City & County CoC","Total Homeless","6,096"
"1/1/2012","CA","CA-609","San Bernardino City & County CoC","Total Homeless","2,532"
"1/1/2012","CA","CA-611","Oxnard/San Buenaventura/Ventura County CoC","Total Homeless","1,926"
"1/1/2012","CA","CA-612","Glendale CoC","Total Homeless","299"
"1/1/2012","CA","CA-613","Imperial County CoC","Total Homeless","239"
"1/1/2012","CA","CA-614","San Luis Obispo County CoC","Total Homeless","2,129"
