"","state","location","both_sexes_2012"
"1","California","Alameda County",19.4
"2","California","Alpine County",19.7
"3","California","Amador County",19.3
"4","California","Butte County",17.8
"5","California","Calaveras County",19.5
"6","California","California",17.7
"7","California","Colusa County",17.8
"8","California","Contra Costa County",18.7
"9","California","Del Norte County",16.8
"10","California","El Dorado County",19.2
"11","California","Fresno County",15.6
"12","California","Glenn County",17.7
"13","California","Humboldt County",19.6
"14","California","Imperial County",15
"15","California","Inyo County",19.5
"16","California","Kern County",15.4
"17","California","Kings County",16.3
"18","California","Lake County",17.7
"19","California","Lassen County",17.6
"20","California","Los Angeles County",16.5
"21","California","Madera County",15.9
"22","California","Marin County",20.3
"23","California","Mariposa County",19.5
"24","California","Mendocino County",19.3
"25","California","Merced County",15.7
"26","California","Modoc County",17.9
"27","California","Mono County",21
"28","California","Monterey County",17.3
"29","California","Napa County",19.2
"30","California","Nevada County",18.8
"31","California","Orange County",18.3
"32","California","Placer County",17.4
"33","California","Plumas County",20
"34","California","Riverside County",16.7
"35","California","Sacramento County",17.2
"36","California","San Benito County",17.6
"37","California","San Bernardino County",16.4
"38","California","San Diego County",18.9
"39","California","San Francisco County",24
"40","California","San Joaquin County",16.4
"41","California","San Luis Obispo County",19.4
"42","California","San Mateo County",20.9
"43","California","Santa Barbara County",18.9
"44","California","Santa Clara County",18.7
"45","California","Santa Cruz County",19.7
"46","California","Shasta County",16.4
"47","California","Sierra County",19.5
"48","California","Siskiyou County",17.3
"49","California","Solano County",17.4
"50","California","Sonoma County",20.2
"51","California","Stanislaus County",15.8
"52","California","Sutter County",15.9
"53","California","Tehama County",17.7
"54","California","Trinity County",19.4
"55","California","Tulare County",15.3
"56","California","Tuolumne County",17.4
"57","California","Ventura County",17.8
"58","California","Yolo County",18.7
"59","California","Yuba County",16.9
