"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","CO","CO-500","Colorado Balance of State CoC","Total Homeless","4,450"
"1/1/2007","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","8,698"
"1/1/2007","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,077"
"1/1/2008","CO","CO-500","Colorado Balance of State CoC","Total Homeless","5,188"
"1/1/2008","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","8,482"
"1/1/2008","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,077"
"1/1/2009","CO","CO-500","Colorado Balance of State CoC","Total Homeless","5,267"
"1/1/2009","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","8,752"
"1/1/2009","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,249"
"1/1/2010","CO","CO-500","Colorado Balance of State CoC","Total Homeless","5,267"
"1/1/2010","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","8,752"
"1/1/2010","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,463"
"1/1/2011","CO","CO-500","Colorado Balance of State CoC","Total Homeless","9,283"
"1/1/2011","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","4,809"
"1/1/2011","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,024"
"1/1/2012","CO","CO-500","Colorado Balance of State CoC","Total Homeless","9,283"
"1/1/2012","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","6,358"
"1/1/2012","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,127"
"1/1/2013","CO","CO-500","Colorado Balance of State CoC","Total Homeless","2,267"
"1/1/2013","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","6,316"
"1/1/2013","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,171"
"1/1/2014","CO","CO-500","Colorado Balance of State CoC","Total Homeless","2,188"
"1/1/2014","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","6,621"
"1/1/2014","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,219"
"1/1/2015","CO","CO-500","Colorado Balance of State CoC","Total Homeless","3,545"
"1/1/2015","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","5,335"
"1/1/2015","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,073"
"1/1/2016","CO","CO-500","Colorado Balance of State CoC","Total Homeless","3,520"
"1/1/2016","CO","CO-503","Metropolitan Denver Homeless Initiative","Total Homeless","5,728"
"1/1/2016","CO","CO-504","Colorado Springs/El Paso County CoC","Total Homeless","1,302"
