"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","919"
"1/1/2007","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,563"
"1/1/2008","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","846"
"1/1/2008","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,781"
"1/1/2009","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","825"
"1/1/2009","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,780"
"1/1/2010","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","944"
"1/1/2010","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,372"
"1/1/2011","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","1,005"
"1/1/2011","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,451"
"1/1/2012","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","902"
"1/1/2012","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,307"
"1/1/2013","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","1,059"
"1/1/2013","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,389"
"1/1/2014","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","1,083"
"1/1/2014","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,367"
"1/1/2015","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","913"
"1/1/2015","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,134"
"1/1/2016","CT","CT-503","Bridgeport/Norwalk /Stamford/Fairfield County CoC","Total Homeless","886"
"1/1/2016","CT","CT-505","Connecticut Balance of State CoC","Total Homeless","3,016"
