"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","DC","DC-500","District of Columbia CoC","Total Homeless","5,320"
"1/1/2008","DC","DC-500","District of Columbia CoC","Total Homeless","6,044"
"1/1/2009","DC","DC-500","District of Columbia CoC","Total Homeless","6,228"
"1/1/2010","DC","DC-500","District of Columbia CoC","Total Homeless","6,539"
"1/1/2011","DC","DC-500","District of Columbia CoC","Total Homeless","6,546"
"1/1/2012","DC","DC-500","District of Columbia CoC","Total Homeless","6,954"
"1/1/2013","DC","DC-500","District of Columbia CoC","Total Homeless","6,865"
"1/1/2014","DC","DC-500","District of Columbia CoC","Total Homeless","7,748"
"1/1/2015","DC","DC-500","District of Columbia CoC","Total Homeless","7,298"
"1/1/2016","DC","DC-500","District of Columbia CoC","Total Homeless","8,350"
