"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","DE","DE-500","Delaware Statewide CoC","Total Homeless","1,061"
"1/1/2008","DE","DE-500","Delaware Statewide CoC","Total Homeless","933"
"1/1/2009","DE","DE-500","Delaware Statewide CoC","Total Homeless","1,130"
"1/1/2010","DE","DE-500","Delaware Statewide CoC","Total Homeless","982"
"1/1/2011","DE","DE-500","Delaware Statewide CoC","Total Homeless","1,035"
"1/1/2012","DE","DE-500","Delaware Statewide CoC","Total Homeless","1,008"
"1/1/2013","DE","DE-500","Delaware Statewide CoC","Total Homeless","946"
"1/1/2014","DE","DE-500","Delaware Statewide CoC","Total Homeless","901"
"1/1/2015","DE","DE-500","Delaware Statewide CoC","Total Homeless","953"
"1/1/2016","DE","DE-500","Delaware Statewide CoC","Total Homeless","1,070"
