"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2012","FL","FL-500","Sarasota/Bradenton/Manatee, Sarasota Counties CoC","Total Homeless","921"
"1/1/2012","FL","FL-501","Tampa/Hillsborough County CoC","Total Homeless","7,419"
"1/1/2012","FL","FL-502","St. Petersburg/Clearwater/Largo/Pinellas County CoC","Total Homeless","3,971"
"1/1/2012","FL","FL-503","Lakeland/Winter Haven/Polk County CoC","Total Homeless","881"
"1/1/2012","FL","FL-504","Daytona Beach/Daytona/Volusia, Flagler Counties CoC","Total Homeless","2,384"
"1/1/2012","FL","FL-505","Fort Walton Beach/Okaloosa, Walton Counties CoC","Total Homeless","2,438"
"1/1/2012","FL","FL-506","Tallahassee/Leon County CoC","Total Homeless","797"
"1/1/2012","FL","FL-507","Orlando/Orange, Osceola, Seminole Counties CoC","Total Homeless","3,661"
"1/1/2012","FL","FL-508","Gainesville/Alachua, Putnam Counties CoC","Total Homeless","1,814"
"1/1/2012","FL","FL-509","Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","Total Homeless","1,724"
"1/1/2012","FL","FL-510","Jacksonville-Duval, Clay Counties CoC","Total Homeless","2,861"
"1/1/2012","FL","FL-511","Pensacola/Escambia/Santa Rosa County CoC","Total Homeless","792"
"1/1/2012","FL","FL-512","Saint Johns County CoC","Total Homeless","1,385"
"1/1/2012","FL","FL-513","Palm Bay/Melbourne/Brevard County CoC","Total Homeless","2,062"
"1/1/2012","FL","FL-514","Ocala/Marion County CoC","Total Homeless","911"
"1/1/2012","FL","FL-515","Panama City/Bay, Jackson Counties CoC","Total Homeless","322"
"1/1/2012","FL","FL-517","Hendry, Hardee, Highlands Counties CoC","Total Homeless","1,319"
"1/1/2012","FL","FL-518","Columbia, Hamilton, Lafayette, Suwannee Counties CoC","Total Homeless","1,180"
"1/1/2012","FL","FL-519","Pasco County CoC","Total Homeless","4,351"
"1/1/2012","FL","FL-520","Citrus, Hernando, Lake, Sumter Counties CoC","Total Homeless","1,788"
"1/1/2012","FL","FL-600","Miami/Dade County CoC","Total Homeless","3,976"
"1/1/2012","FL","FL-601","Ft Lauderdale/Broward County CoC","Total Homeless","3,183"
"1/1/2012","FL","FL-602","Punta Gorda/Charlotte County CoC","Total Homeless","756"
"1/1/2012","FL","FL-603","Ft Myers/Cape Coral/Lee County CoC","Total Homeless","781"
"1/1/2012","FL","FL-604","Monroe County CoC","Total Homeless","922"
"1/1/2012","FL","FL-605","West Palm Beach/Palm Beach County CoC","Total Homeless","2,116"
"1/1/2012","FL","FL-606","Naples/Collier County CoC","Total Homeless","455"
