"","state","location","both_sexes_2012"
"1","Florida","Alachua County",17.3
"2","Florida","Baker County",14.6
"3","Florida","Bay County",19.6
"4","Florida","Bradford County",14.4
"5","Florida","Brevard County",20.5
"6","Florida","Broward County",16.8
"7","Florida","Calhoun County",15.1
"8","Florida","Charlotte County",20.3
"9","Florida","Citrus County",19.6
"10","Florida","Clay County",16.9
"11","Florida","Collier County",18.7
"12","Florida","Columbia County",14.6
"13","Florida","DeSoto County",15.6
"14","Florida","Dixie County",15.6
"15","Florida","Duval County",16.2
"16","Florida","Escambia County",17.3
"17","Florida","Flagler County",19.5
"18","Florida","Florida",17.9
"19","Florida","Franklin County",23.7
"20","Florida","Gadsden County",14.5
"21","Florida","Gilchrist County",13.9
"22","Florida","Glades County",13.8
"23","Florida","Gulf County",18.6
"24","Florida","Hamilton County",14.5
"25","Florida","Hardee County",13.2
"26","Florida","Hendry County",15.2
"27","Florida","Hernando County",20
"28","Florida","Highlands County",15.7
"29","Florida","Hillsborough County",19.2
"30","Florida","Holmes County",15.7
"31","Florida","Indian River County",20
"32","Florida","Jackson County",14.4
"33","Florida","Jefferson County",15.8
"34","Florida","Lafayette County",13
"35","Florida","Lake County",16.6
"36","Florida","Lee County",19.4
"37","Florida","Leon County",18.5
"38","Florida","Levy County",15
"39","Florida","Liberty County",12.1
"40","Florida","Madison County",13.3
"41","Florida","Manatee County",19.6
"42","Florida","Marion County",16.6
"43","Florida","Martin County",19.8
"44","Florida","Miami-Dade County",15.9
"45","Florida","Monroe County",25
"46","Florida","Nassau County",16.4
"47","Florida","Okaloosa County",19.1
"48","Florida","Okeechobee County",16.3
"49","Florida","Orange County",17.4
"50","Florida","Osceola County",15.4
"51","Florida","Palm Beach County",17.5
"52","Florida","Pasco County",20.6
"53","Florida","Pinellas County",22.2
"54","Florida","Polk County",16.9
"55","Florida","Putnam County",15.7
"56","Florida","Santa Rosa County",17.8
"57","Florida","Sarasota County",21.1
"58","Florida","Seminole County",18.7
"59","Florida","St. Johns County",21
"60","Florida","St. Lucie County",17.7
"61","Florida","Sumter County",18.2
"62","Florida","Suwannee County",12.8
"63","Florida","Taylor County",15.3
"64","Florida","Union County",14
"65","Florida","Volusia County",18.8
"66","Florida","Wakulla County",18.8
"67","Florida","Walton County",18.5
"68","Florida","Washington County",13.4
