"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","GA","GA-500","Atlanta Continuum of Care","Total Homeless","6,840"
"1/1/2007","GA","GA-501","Georgia Balance of State CoC","Total Homeless","10,255"
"1/1/2007","GA","GA-503","Athens/Clarke County CoC","Total Homeless","464"
"1/1/2007","GA","GA-504","Augusta CoC","Total Homeless","489"
"1/1/2007","GA","GA-505","Columbus-Muscogee/Russell County CoC","Total Homeless","540"
"1/1/2007","GA","GA-506","Marietta/Cobb County CoC","Total Homeless","537"
"1/1/2007","GA","GA-507","Savannah/Chatham County CoC","Total Homeless","514"
"1/1/2008","GA","GA-500","Atlanta Continuum of Care","Total Homeless","6,840"
"1/1/2008","GA","GA-501","Georgia Balance of State CoC","Total Homeless","9,340"
"1/1/2008","GA","GA-503","Athens/Clarke County CoC","Total Homeless","462"
"1/1/2008","GA","GA-504","Augusta CoC","Total Homeless","528"
"1/1/2008","GA","GA-505","Columbus-Muscogee/Russell County CoC","Total Homeless","618"
"1/1/2008","GA","GA-506","Marietta/Cobb County CoC","Total Homeless","537"
"1/1/2008","GA","GA-507","Savannah/Chatham County CoC","Total Homeless","770"
"1/1/2009","GA","GA-500","Atlanta Continuum of Care","Total Homeless","7,019"
"1/1/2009","GA","GA-501","Georgia Balance of State CoC","Total Homeless","9,941"
"1/1/2009","GA","GA-503","Athens/Clarke County CoC","Total Homeless","454"
"1/1/2009","GA","GA-504","Augusta CoC","Total Homeless","556"
"1/1/2009","GA","GA-505","Columbus-Muscogee/Russell County CoC","Total Homeless","458"
"1/1/2009","GA","GA-506","Marietta/Cobb County CoC","Total Homeless","480"
"1/1/2009","GA","GA-507","Savannah/Chatham County CoC","Total Homeless","1,452"
"1/1/2010","GA","GA-500","Atlanta Continuum of Care","Total Homeless","7,019"
"1/1/2010","GA","GA-501","Georgia Balance of State CoC","Total Homeless","9,750"
"1/1/2010","GA","GA-503","Athens/Clarke County CoC","Total Homeless","496"
"1/1/2010","GA","GA-504","Augusta CoC","Total Homeless","556"
"1/1/2010","GA","GA-505","Columbus-Muscogee/Russell County CoC","Total Homeless","468"
"1/1/2010","GA","GA-506","Marietta/Cobb County CoC","Total Homeless","470"
"1/1/2010","GA","GA-507","Savannah/Chatham County CoC","Total Homeless","1,077"
"1/1/2011","GA","GA-500","Atlanta Continuum of Care","Total Homeless","6,805"
"1/1/2011","GA","GA-501","Georgia Balance of State CoC","Total Homeless","11,168"
"1/1/2011","GA","GA-503","Athens/Clarke County CoC","Total Homeless","407"
"1/1/2011","GA","GA-504","Augusta CoC","Total Homeless","497"
"1/1/2011","GA","GA-505","Columbus-Muscogee/Russell County CoC","Total Homeless","486"
"1/1/2011","GA","GA-506","Marietta/Cobb County CoC","Total Homeless","370"
"1/1/2011","GA","GA-507","Savannah/Chatham County CoC","Total Homeless","1,242"
"1/1/2012","GA","GA-500","Atlanta Continuum of Care","Total Homeless","6,811"
"1/1/2012","GA","GA-501","Georgia Balance of State CoC","Total Homeless","11,105"
"1/1/2012","GA","GA-503","Athens/Clarke County CoC","Total Homeless","361"
"1/1/2012","GA","GA-504","Augusta CoC","Total Homeless","396"
"1/1/2012","GA","GA-505","Columbus-Muscogee/Russell County CoC","Total Homeless","333"
"1/1/2012","GA","GA-506","Marietta/Cobb County CoC","Total Homeless","392"
"1/1/2012","GA","GA-507","Savannah/Chatham County CoC","Total Homeless","1,118"
"1/1/2013","GA","GA-500","Atlanta Continuum of Care","Total Homeless","5,536"
"1/1/2013","GA","GA-501","Georgia Balance of State CoC","Total Homeless","7,651"
"1/1/2013","GA","GA-502","Fulton County Continuum of Care","Total Homeless","428"
"1/1/2013","GA","GA-503","Athens/Clarke County CoC","Total Homeless","213"
"1/1/2013","GA","GA-504","Augusta CoC","Total Homeless","476"
