"","state","location","both_sexes_2012"
"1","Georgia","Appling County",12.7
"2","Georgia","Atkinson County",12.7
"3","Georgia","Bacon County",11.3
"4","Georgia","Baker County",15.8
"5","Georgia","Baldwin County",14.6
"6","Georgia","Banks County",11.1
"7","Georgia","Barrow County",15.5
"8","Georgia","Bartow County",13.9
"9","Georgia","Ben Hill County",13
"10","Georgia","Berrien County",15.7
"11","Georgia","Bibb County",14.7
"12","Georgia","Bleckley County",12.6
"13","Georgia","Brantley County",12.7
"14","Georgia","Brooks County",13.4
"15","Georgia","Bryan County",18.1
"16","Georgia","Bulloch County",14.5
"17","Georgia","Burke County",12.4
"18","Georgia","Butts County",12.4
"19","Georgia","Calhoun County",11.1
"20","Georgia","Camden County",15.4
"21","Georgia","Candler County",15.9
"22","Georgia","Carroll County",13.8
"23","Georgia","Catoosa County",15.3
"24","Georgia","Charlton County",13.4
"25","Georgia","Chatham County",18.4
"26","Georgia","Chattahoochee County",14.3
"27","Georgia","Chattooga County",12.5
"28","Georgia","Cherokee County",15.7
"29","Georgia","Clarke County",17.3
"30","Georgia","Clay County",11.6
"31","Georgia","Clayton County",12
"32","Georgia","Clinch County",13
"33","Georgia","Cobb County",16
"34","Georgia","Coffee County",11.9
"35","Georgia","Colquitt County",13.2
"36","Georgia","Columbia County",17.5
"37","Georgia","Cook County",12.6
"38","Georgia","Coweta County",14.6
"39","Georgia","Crawford County",15.2
"40","Georgia","Crisp County",14.7
"41","Georgia","Dade County",15.1
"42","Georgia","Dawson County",14.9
"43","Georgia","Decatur County",13.1
"44","Georgia","DeKalb County",16.7
"45","Georgia","Dodge County",11
"46","Georgia","Dooly County",12.7
"47","Georgia","Dougherty County",14.5
"48","Georgia","Douglas County",13.6
"49","Georgia","Early County",13
"50","Georgia","Echols County",12.7
"51","Georgia","Effingham County",15.5
"52","Georgia","Elbert County",13.7
"53","Georgia","Emanuel County",13.9
"54","Georgia","Evans County",14.8
"55","Georgia","Fannin County",11.3
"56","Georgia","Fayette County",15.3
"57","Georgia","Floyd County",13.8
"58","Georgia","Forsyth County",17.1
"59","Georgia","Franklin County",12.3
"60","Georgia","Fulton County",17.7
"61","Georgia","Georgia",15.2
"62","Georgia","Gilmer County",13.9
"63","Georgia","Glascock County",11.5
"64","Georgia","Glynn County",17.7
"65","Georgia","Gordon County",13.5
"66","Georgia","Grady County",13
"67","Georgia","Greene County",15.4
"68","Georgia","Gwinnett County",14.6
"69","Georgia","Habersham County",12.4
"70","Georgia","Hall County",13.9
"71","Georgia","Hancock County",11.8
"72","Georgia","Haralson County",12.5
"73","Georgia","Harris County",14.8
"74","Georgia","Hart County",11.7
"75","Georgia","Heard County",12
"76","Georgia","Henry County",14.1
"77","Georgia","Houston County",16.5
