"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","GU","GU-500","Guam CoC","Total Homeless","725"
"1/1/2008","GU","GU-500","Guam CoC","Total Homeless","725"
"1/1/2009","GU","GU-500","Guam CoC","Total Homeless","1,088"
"1/1/2010","GU","GU-500","Guam CoC","Total Homeless","1,635"
"1/1/2011","GU","GU-500","Guam CoC","Total Homeless","1,745"
"1/1/2012","GU","GU-500","Guam CoC","Total Homeless","1,301"
"1/1/2013","GU","GU-500","Guam CoC","Total Homeless","1,271"
"1/1/2014","GU","GU-500","Guam CoC","Total Homeless","1,356"
"1/1/2015","GU","GU-500","Guam CoC","Total Homeless","1,280"
"1/1/2016","GU","GU-500","Guam CoC","Total Homeless","1,085"
