"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","2,320"
"1/1/2007","HI","HI-501","Honolulu CoC","Total Homeless","3,750"
"1/1/2008","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","2,311"
"1/1/2008","HI","HI-501","Honolulu CoC","Total Homeless","3,750"
"1/1/2009","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","2,144"
"1/1/2009","HI","HI-501","Honolulu CoC","Total Homeless","3,638"
"1/1/2010","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","1,663"
"1/1/2010","HI","HI-501","Honolulu CoC","Total Homeless","4,171"
"1/1/2011","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","1,954"
"1/1/2011","HI","HI-501","Honolulu CoC","Total Homeless","4,234"
"1/1/2012","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","1,893"
"1/1/2012","HI","HI-501","Honolulu CoC","Total Homeless","4,353"
"1/1/2013","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","1,779"
"1/1/2013","HI","HI-501","Honolulu CoC","Total Homeless","4,556"
"1/1/2014","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","2,206"
"1/1/2014","HI","HI-501","Honolulu CoC","Total Homeless","4,712"
"1/1/2015","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","2,717"
"1/1/2015","HI","HI-501","Honolulu CoC","Total Homeless","4,903"
"1/1/2016","HI","HI-500","Hawaii Balance of State CoC","Total Homeless","2,981"
"1/1/2016","HI","HI-501","Honolulu CoC","Total Homeless","4,940"
