"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","164"
"1/1/2007","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,529"
"1/1/2007","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","1,041"
"1/1/2008","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","271"
"1/1/2008","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,950"
"1/1/2008","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","1,125"
"1/1/2009","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","289"
"1/1/2009","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,962"
"1/1/2009","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","1,129"
"1/1/2010","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","308"
"1/1/2010","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,686"
"1/1/2010","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","1,020"
"1/1/2011","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","366"
"1/1/2011","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,782"
"1/1/2011","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","986"
"1/1/2012","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","250"
"1/1/2012","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,860"
"1/1/2012","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","818"
"1/1/2013","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","236"
"1/1/2013","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,920"
"1/1/2013","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","928"
"1/1/2014","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","297"
"1/1/2014","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,939"
"1/1/2014","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","886"
"1/1/2015","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","276"
"1/1/2015","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,975"
"1/1/2015","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","830"
"1/1/2016","IA","IA-500","Sioux City/Dakota, Woodbury Counties CoC","Total Homeless","348"
"1/1/2016","IA","IA-501","Iowa Balance of State CoC","Total Homeless","1,923"
"1/1/2016","IA","IA-502","Des Moines/Polk County CoC","Total Homeless","793"
