"","state","location","both_sexes_2012"
"1","Iowa","Adair County",22.6
"2","Iowa","Adams County",24
"3","Iowa","Allamakee County",28
"4","Iowa","Appanoose County",21.9
"5","Iowa","Audubon County",23.4
"6","Iowa","Benton County",25.5
"7","Iowa","Black Hawk County",26.1
"8","Iowa","Boone County",25.6
"9","Iowa","Bremer County",25.6
"10","Iowa","Buchanan County",27.2
"11","Iowa","Buena Vista County",21
"12","Iowa","Butler County",24.9
"13","Iowa","Calhoun County",23.4
"14","Iowa","Carroll County",28.4
"15","Iowa","Cass County",22.6
"16","Iowa","Cedar County",26.2
"17","Iowa","Cerro Gordo County",25.1
"18","Iowa","Cherokee County",25.3
"19","Iowa","Chickasaw County",27.6
"20","Iowa","Clarke County",21.8
"21","Iowa","Clay County",24.1
"22","Iowa","Clayton County",28.6
"23","Iowa","Clinton County",31
"24","Iowa","Crawford County",22.7
"25","Iowa","Dallas County",23.7
"26","Iowa","Davis County",20.4
"27","Iowa","Decatur County",20.6
"28","Iowa","Delaware County",28.7
"29","Iowa","Des Moines County",24.9
"30","Iowa","Dickinson County",31.4
"31","Iowa","Dubuque County",32.3
"32","Iowa","Emmet County",24.3
"33","Iowa","Fayette County",27.4
"34","Iowa","Floyd County",26.3
"35","Iowa","Franklin County",23.6
"36","Iowa","Fremont County",27.1
"37","Iowa","Greene County",23.7
"38","Iowa","Grundy County",25.9
"39","Iowa","Guthrie County",23.7
"40","Iowa","Hamilton County",24.9
"41","Iowa","Hancock County",23.2
"42","Iowa","Hardin County",23.9
"43","Iowa","Harrison County",23.1
"44","Iowa","Henry County",24
"45","Iowa","Howard County",28.5
"46","Iowa","Humboldt County",25.5
"47","Iowa","Ida County",22.8
"48","Iowa","Iowa",25.1
"49","Iowa","Iowa County",24
"50","Iowa","Jackson County",29.4
"51","Iowa","Jasper County",23.4
"52","Iowa","Jefferson County",20.7
"53","Iowa","Johnson County",23.9
"54","Iowa","Jones County",26.7
"55","Iowa","Keokuk County",23.9
"56","Iowa","Kossuth County",25.8
"57","Iowa","Lee County",28
"58","Iowa","Linn County",24.3
"59","Iowa","Louisa County",23.4
"60","Iowa","Lucas County",23.4
"61","Iowa","Lyon County",24
"62","Iowa","Madison County",23.1
"63","Iowa","Mahaska County",21.6
"64","Iowa","Marion County",22.6
"65","Iowa","Marshall County",24.3
"66","Iowa","Mills County",21.6
"67","Iowa","Mitchell County",25.3
"68","Iowa","Monona County",26.6
"69","Iowa","Monroe County",27.1
"70","Iowa","Montgomery County",25.1
"71","Iowa","Muscatine County",24.3
"72","Iowa","O'Brien County",23.4
"73","Iowa","Osceola County",24.2
"74","Iowa","Page County",20.8
"75","Iowa","Palo Alto County",24.5
"76","Iowa","Plymouth County",27.5
"77","Iowa","Pocahontas County",27.5
"78","Iowa","Polk County",24
"79","Iowa","Pottawattamie County",25
"80","Iowa","Poweshiek County",26.1
"81","Iowa","Ringgold County",22
"82","Iowa","Sac County",24.9
"83","Iowa","Scott County",27.1
"84","Iowa","Shelby County",26.3
"85","Iowa","Sioux County",20.8
"86","Iowa","Story County",22.4
"87","Iowa","Tama County",25.6
"88","Iowa","Taylor County",22
"89","Iowa","Union County",24.9
"90","Iowa","Van Buren County",24
"91","Iowa","Wapello County",22.5
"92","Iowa","Warren County",24.7
"93","Iowa","Washington County",22.8
"94","Iowa","Wayne County",22
"95","Iowa","Webster County",26.5
"96","Iowa","Winnebago County",25
"97","Iowa","Winneshiek County",31.9
"98","Iowa","Woodbury County",23.1
"99","Iowa","Worth County",24.7
"100","Iowa","Wright County",28
