"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","ID","ID-500","Boise/Ada County CoC","Total Homeless","581"
"1/1/2007","ID","ID-501","Idaho Balance of State","Total Homeless","1,168"
"1/1/2008","ID","ID-500","Boise/Ada County CoC","Total Homeless","611"
"1/1/2008","ID","ID-501","Idaho Balance of State","Total Homeless","853"
"1/1/2009","ID","ID-500","Boise/Ada County CoC","Total Homeless","786"
"1/1/2009","ID","ID-501","Idaho Balance of State","Total Homeless","1,153"
"1/1/2010","ID","ID-500","Boise/Ada County CoC","Total Homeless","872"
"1/1/2010","ID","ID-501","Idaho Balance of State","Total Homeless","1,474"
"1/1/2011","ID","ID-500","Boise/Ada County CoC","Total Homeless","838"
"1/1/2011","ID","ID-501","Idaho Balance of State","Total Homeless","1,361"
"1/1/2012","ID","ID-500","Boise/Ada County CoC","Total Homeless","754"
"1/1/2012","ID","ID-501","Idaho Balance of State","Total Homeless","1,214"
"1/1/2013","ID","ID-500","Boise/Ada County CoC","Total Homeless","694"
"1/1/2013","ID","ID-501","Idaho Balance of State","Total Homeless","1,087"
"1/1/2014","ID","ID-500","Boise/Ada County CoC","Total Homeless","753"
"1/1/2014","ID","ID-501","Idaho Balance of State","Total Homeless","1,351"
"1/1/2015","ID","ID-500","Boise/Ada County CoC","Total Homeless","755"
"1/1/2015","ID","ID-501","Idaho Balance of State","Total Homeless","1,211"
"1/1/2016","ID","ID-500","Boise/Ada County CoC","Total Homeless","867"
"1/1/2016","ID","ID-501","Idaho Balance of State","Total Homeless","1,380"
