"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2012","IL","IL-500","McHenry County CoC","Total Homeless","196"
"1/1/2012","IL","IL-501","Rockford/Winnebago, Boone Counties CoC","Total Homeless","727"
"1/1/2012","IL","IL-502","Waukegan/North Chicago/Lake County CoC","Total Homeless","450"
"1/1/2012","IL","IL-503","Champaign/Urbana/Rantoul/Champaign County CoC","Total Homeless","209"
"1/1/2012","IL","IL-504","Madison County CoC","Total Homeless","196"
"1/1/2012","IL","IL-506","Joliet/Bolingbrook/Will County CoC","Total Homeless","291"
"1/1/2012","IL","IL-507","Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC","Total Homeless","376"
"1/1/2012","IL","IL-508","East Saint Louis/Belleville/Saint Clair County CoC","Total Homeless","451"
"1/1/2012","IL","IL-509","Dekalb City & County CoC","Total Homeless","125"
"1/1/2012","IL","IL-510","Chicago CoC","Total Homeless","6,710"
"1/1/2012","IL","IL-511","Cook County CoC","Total Homeless","1,242"
"1/1/2012","IL","IL-512","Bloomington/Central Illinois CoC","Total Homeless","668"
"1/1/2012","IL","IL-513","Springfield/Sangamon County CoC","Total Homeless","251"
"1/1/2012","IL","IL-514","DuPage County CoC","Total Homeless","641"
"1/1/2012","IL","IL-515","South Central Illinois CoC","Total Homeless","124"
"1/1/2012","IL","IL-516","Decatur/Macon County CoC","Total Homeless","210"
"1/1/2012","IL","IL-517","Aurora/Elgin/Kane County CoC","Total Homeless","431"
"1/1/2012","IL","IL-518","Rock Island/Moline/Northwestern Illinois CoC","Total Homeless","263"
"1/1/2012","IL","IL-519","West Central Illinois CoC","Total Homeless","172"
"1/1/2012","IL","IL-520","Southern Illinois CoC","Total Homeless","411"
