"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","584"
"1/1/2007","IN","IN-502","Indiana Balance of State CoC","Total Homeless","4,906"
"1/1/2007","IN","IN-503","Indianapolis CoC","Total Homeless","1,868"
"1/1/2008","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","998"
"1/1/2008","IN","IN-502","Indiana Balance of State CoC","Total Homeless","4,906"
"1/1/2008","IN","IN-503","Indianapolis CoC","Total Homeless","1,491"
"1/1/2009","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","1,243"
"1/1/2009","IN","IN-502","Indiana Balance of State CoC","Total Homeless","4,287"
"1/1/2009","IN","IN-503","Indianapolis CoC","Total Homeless","1,454"
"1/1/2010","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","641"
"1/1/2010","IN","IN-502","Indiana Balance of State CoC","Total Homeless","4,317"
"1/1/2010","IN","IN-503","Indianapolis CoC","Total Homeless","1,494"
"1/1/2011","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","613"
"1/1/2011","IN","IN-502","Indiana Balance of State CoC","Total Homeless","3,996"
"1/1/2011","IN","IN-503","Indianapolis CoC","Total Homeless","1,587"
"1/1/2012","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","653"
"1/1/2012","IN","IN-502","Indiana Balance of State CoC","Total Homeless","3,959"
"1/1/2012","IN","IN-503","Indianapolis CoC","Total Homeless","1,647"
"1/1/2013","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","587"
"1/1/2013","IN","IN-502","Indiana Balance of State CoC","Total Homeless","3,910"
"1/1/2013","IN","IN-503","Indianapolis CoC","Total Homeless","1,599"
"1/1/2014","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","492"
"1/1/2014","IN","IN-502","Indiana Balance of State CoC","Total Homeless","3,589"
"1/1/2014","IN","IN-503","Indianapolis CoC","Total Homeless","1,890"
"1/1/2015","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","533"
"1/1/2015","IN","IN-502","Indiana Balance of State CoC","Total Homeless","3,664"
"1/1/2015","IN","IN-503","Indianapolis CoC","Total Homeless","1,666"
"1/1/2016","IN","IN-500","South Bend/Mishawaka/St. Joseph County CoC","Total Homeless","468"
"1/1/2016","IN","IN-502","Indiana Balance of State CoC","Total Homeless","3,711"
"1/1/2016","IN","IN-503","Indianapolis CoC","Total Homeless","1,619"
