"","state","location","both_sexes_2012"
"1","Idaho","Ada County",17.9
"2","Idaho","Adams County",23.2
"3","Idaho","Bannock County",14.5
"4","Idaho","Bear Lake County",8.1
"5","Idaho","Benewah County",25.9
"6","Idaho","Bingham County",11.8
"7","Idaho","Blaine County",23.1
"8","Idaho","Boise County",19.6
"9","Idaho","Bonner County",23.8
"10","Idaho","Bonneville County",11.6
"11","Idaho","Boundary County",20.5
"12","Idaho","Butte County",14.5
"13","Idaho","Camas County",18.4
"14","Idaho","Canyon County",16.4
"15","Idaho","Caribou County",10.4
"16","Idaho","Cassia County",12.5
"17","Idaho","Clark County",17.2
"18","Idaho","Clearwater County",25.1
"19","Idaho","Custer County",18.4
"20","Idaho","Elmore County",20.5
"21","Idaho","Franklin County",8
"22","Idaho","Fremont County",10.1
"23","Idaho","Gem County",17.8
"24","Idaho","Gooding County",18.6
"25","Idaho","Idaho",17.3
"26","Idaho","Idaho County",23.8
"27","Idaho","Jefferson County",9.5
"28","Idaho","Jerome County",19.1
"29","Idaho","Kootenai County",19.2
"30","Idaho","Latah County",24.5
"31","Idaho","Lemhi County",20.6
"32","Idaho","Lewis County",22.1
"33","Idaho","Lincoln County",17.5
"34","Idaho","Madison County",5.9
"35","Idaho","Minidoka County",15
"36","Idaho","Nez Perce County",25.2
"37","Idaho","Oneida County",10.7
"38","Idaho","Owyhee County",21.5
"39","Idaho","Payette County",18.7
"40","Idaho","Power County",14.5
"41","Idaho","Shoshone County",29.2
"42","Idaho","Teton County",15.9
"43","Idaho","Twin Falls County",17.8
"44","Idaho","Valley County",23.3
"45","Idaho","Washington County",22
