"","state","location","both_sexes_2012"
"1","Illinois","Adams County",22.7
"2","Illinois","Alexander County",16
"3","Illinois","Bond County",20.6
"4","Illinois","Boone County",22
"5","Illinois","Brown County",22.8
"6","Illinois","Bureau County",22.8
"7","Illinois","Calhoun County",32.6
"8","Illinois","Carroll County",23.6
"9","Illinois","Cass County",21.1
"10","Illinois","Champaign County",20.2
"11","Illinois","Christian County",22.1
"12","Illinois","Clark County",16.7
"13","Illinois","Clay County",18.4
"14","Illinois","Clinton County",30.8
"15","Illinois","Coles County",20.7
"16","Illinois","Cook County",22.8
"17","Illinois","Crawford County",17.5
"18","Illinois","Cumberland County",18.6
"19","Illinois","De Witt County",20.5
"20","Illinois","DeKalb County",21.9
"21","Illinois","Douglas County",19.6
"22","Illinois","DuPage County",23.9
"23","Illinois","Edgar County",18.7
"24","Illinois","Edwards County",16.1
"25","Illinois","Effingham County",22.4
"26","Illinois","Fayette County",17.6
"27","Illinois","Ford County",20.3
"28","Illinois","Franklin County",18.7
"29","Illinois","Fulton County",21
"30","Illinois","Gallatin County",21.9
"31","Illinois","Greene County",22.5
"32","Illinois","Grundy County",23.6
"33","Illinois","Hamilton County",16.9
"34","Illinois","Hancock County",24.1
"35","Illinois","Hardin County",18.6
"36","Illinois","Henderson County",22
"37","Illinois","Henry County",21.1
"38","Illinois","Illinois",22.2
"39","Illinois","Iroquois County",19.9
"40","Illinois","Jackson County",19.4
"41","Illinois","Jasper County",21.9
"42","Illinois","Jefferson County",16.7
"43","Illinois","Jersey County",24.9
"44","Illinois","Jo Daviess County",28.8
"45","Illinois","Johnson County",16.8
"46","Illinois","Kane County",21.6
"47","Illinois","Kankakee County",21.4
"48","Illinois","Kendall County",21.6
"49","Illinois","Knox County",21.3
"50","Illinois","Lake County",21.2
"51","Illinois","LaSalle County",25.8
"52","Illinois","Lawrence County",15.4
"53","Illinois","Lee County",24.4
"54","Illinois","Livingston County",21.9
"55","Illinois","Logan County",20.1
"56","Illinois","Macon County",20.4
"57","Illinois","Macoupin County",23
"58","Illinois","Madison County",22.5
"59","Illinois","Marion County",18.2
"60","Illinois","Marshall County",24.5
"61","Illinois","Mason County",22.4
"62","Illinois","Massac County",16.4
"63","Illinois","McDonough County",19.4
"64","Illinois","McHenry County",24
"65","Illinois","McLean County",20.3
"66","Illinois","Menard County",21
"67","Illinois","Mercer County",22.2
"68","Illinois","Monroe County",24.4
"69","Illinois","Montgomery County",19.8
"70","Illinois","Morgan County",21.9
"71","Illinois","Moultrie County",18.1
"72","Illinois","Ogle County",22.5
"73","Illinois","Peoria County",20.4
"74","Illinois","Perry County",19.5
"75","Illinois","Piatt County",21.5
"76","Illinois","Pike County",20
"77","Illinois","Pope County",16.6
"78","Illinois","Pulaski County",14.7
"79","Illinois","Putnam County",24.9
"80","Illinois","Randolph County",21.2
"81","Illinois","Richland County",19.2
"82","Illinois","Rock Island County",21.1
"83","Illinois","Saline County",16
"84","Illinois","Sangamon County",21.7
"85","Illinois","Schuyler County",20.7
"86","Illinois","Scott County",20.9
"87","Illinois","Shelby County",20.3
"88","Illinois","St. Clair County",21.8
"89","Illinois","Stark County",19.8
"90","Illinois","Stephenson County",20.4
"91","Illinois","Tazewell County",21
"92","Illinois","Union County",16.9
"93","Illinois","Vermilion County",18.1
"94","Illinois","Wabash County",18.8
"95","Illinois","Warren County",20.7
"96","Illinois","Washington County",25.4
"97","Illinois","Wayne County",15.3
"98","Illinois","White County",17.2
"99","Illinois","Whiteside County",22.3
"100","Illinois","Will County",22.7
"101","Illinois","Williamson County",18.4
"102","Illinois","Winnebago County",21.2
"103","Illinois","Woodford County",20.6
