"","state","location","both_sexes_2012"
"1","Indiana","Adams County",15.5
"2","Indiana","Allen County",18.5
"3","Indiana","Bartholomew County",17.7
"4","Indiana","Benton County",20.6
"5","Indiana","Blackford County",17.5
"6","Indiana","Boone County",17.7
"7","Indiana","Brown County",17.3
"8","Indiana","Carroll County",19.6
"9","Indiana","Cass County",18.7
"10","Indiana","Clark County",17.4
"11","Indiana","Clay County",16.4
"12","Indiana","Clinton County",18.8
"13","Indiana","Crawford County",16.5
"14","Indiana","Daviess County",16.4
"15","Indiana","Dearborn County",20.1
"16","Indiana","Decatur County",19.9
"17","Indiana","DeKalb County",19.3
"18","Indiana","Delaware County",15.9
"19","Indiana","Dubois County",24.6
"20","Indiana","Elkhart County",15.6
"21","Indiana","Fayette County",16.9
"22","Indiana","Floyd County",17.8
"23","Indiana","Fountain County",18.1
"24","Indiana","Franklin County",19.3
"25","Indiana","Fulton County",18.8
"26","Indiana","Gibson County",19.3
"27","Indiana","Grant County",16.3
"28","Indiana","Greene County",17.4
"29","Indiana","Hamilton County",18.3
"30","Indiana","Hancock County",16.8
"31","Indiana","Harrison County",17.6
"32","Indiana","Hendricks County",17.4
"33","Indiana","Henry County",15.9
"34","Indiana","Howard County",17.3
"35","Indiana","Huntington County",20.3
"36","Indiana","Indiana",18
"37","Indiana","Jackson County",16.1
"38","Indiana","Jasper County",19.1
"39","Indiana","Jay County",17.7
"40","Indiana","Jefferson County",17.2
"41","Indiana","Jennings County",17
"42","Indiana","Johnson County",17.4
"43","Indiana","Knox County",19.4
"44","Indiana","Kosciusko County",17.6
"45","Indiana","LaGrange County",14.1
"46","Indiana","Lake County",18.2
"47","Indiana","LaPorte County",20.1
"48","Indiana","Lawrence County",16.3
"49","Indiana","Madison County",16.5
"50","Indiana","Marion County",17.3
"51","Indiana","Marshall County",17.4
"52","Indiana","Martin County",19.3
"53","Indiana","Miami County",17.1
"54","Indiana","Monroe County",18.2
"55","Indiana","Montgomery County",18.7
"56","Indiana","Morgan County",16.9
"57","Indiana","Newton County",20.4
"58","Indiana","Noble County",17.2
"59","Indiana","Ohio County",17.6
"60","Indiana","Orange County",16.4
"61","Indiana","Owen County",17
"62","Indiana","Parke County",16.7
"63","Indiana","Perry County",21.3
"64","Indiana","Pike County",17.2
"65","Indiana","Porter County",19.8
"66","Indiana","Posey County",21.2
"67","Indiana","Pulaski County",18.1
"68","Indiana","Putnam County",16.8
"69","Indiana","Randolph County",16.5
"70","Indiana","Ripley County",21.9
"71","Indiana","Rush County",16.7
"72","Indiana","Scott County",15.9
"73","Indiana","Shelby County",19.3
"74","Indiana","Spencer County",20.3
"75","Indiana","St. Joseph County",20.8
"76","Indiana","Starke County",20.5
"77","Indiana","Steuben County",19.5
"78","Indiana","Sullivan County",16.9
"79","Indiana","Switzerland County",17.4
"80","Indiana","Tippecanoe County",18.4
"81","Indiana","Tipton County",17.4
"82","Indiana","Union County",16.7
"83","Indiana","Vanderburgh County",19.5
"84","Indiana","Vermillion County",21.1
"85","Indiana","Vigo County",17.9
"86","Indiana","Wabash County",17.1
"87","Indiana","Warren County",17.6
"88","Indiana","Warrick County",18.3
"89","Indiana","Washington County",15.6
"90","Indiana","Wayne County",17
"91","Indiana","Wells County",16.1
"92","Indiana","White County",17.2
"93","Indiana","Whitley County",18.6
