"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","4,316"
"1/1/2007","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","2,587"
"1/1/2007","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,158"
"1/1/2008","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","4,027"
"1/1/2008","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","2,682"
"1/1/2008","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,428"
"1/1/2009","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","3,174"
"1/1/2009","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","1,515"
"1/1/2009","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,310"
"1/1/2010","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","3,446"
"1/1/2010","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","1,626"
"1/1/2010","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,551"
"1/1/2011","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","2,834"
"1/1/2011","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","1,628"
"1/1/2011","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,572"
"1/1/2012","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","2,328"
"1/1/2012","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","1,532"
"1/1/2012","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,370"
"1/1/2013","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","2,392"
"1/1/2013","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","1,445"
"1/1/2013","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,408"
"1/1/2014","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","2,229"
"1/1/2014","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","1,316"
"1/1/2014","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,544"
"1/1/2015","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","2,119"
"1/1/2015","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","1,161"
"1/1/2015","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,258"
"1/1/2016","KY","KY-500","Kentucky Balance of State CoC","Total Homeless","2,057"
"1/1/2016","KY","KY-501","Louisville/Jefferson County CoC","Total Homeless","1,116"
"1/1/2016","KY","KY-502","Lexington/Fayette County CoC","Total Homeless","1,064"
