"","state","location","both_sexes_2012"
"1","Kansas","Allen County",17.4
"2","Kansas","Anderson County",17.6
"3","Kansas","Atchison County",20.1
"4","Kansas","Barber County",17.4
"5","Kansas","Barton County",18.2
"6","Kansas","Bourbon County",17.3
"7","Kansas","Brown County",21.8
"8","Kansas","Butler County",16.5
"9","Kansas","Chase County",15.4
"10","Kansas","Chautauqua County",15
"11","Kansas","Cherokee County",17.9
"12","Kansas","Cheyenne County",19.1
"13","Kansas","Clark County",15.4
"14","Kansas","Clay County",19.6
"15","Kansas","Cloud County",20
"16","Kansas","Coffey County",18.5
"17","Kansas","Comanche County",19.1
"18","Kansas","Cowley County",14.2
"19","Kansas","Crawford County",17.7
"20","Kansas","Decatur County",20.2
"21","Kansas","Dickinson County",18.2
"22","Kansas","Doniphan County",20.9
"23","Kansas","Douglas County",21.3
"24","Kansas","Edwards County",20.2
"25","Kansas","Elk County",16.2
"26","Kansas","Ellis County",22.7
"27","Kansas","Ellsworth County",17.1
"28","Kansas","Finney County",16.6
"29","Kansas","Ford County",16.8
"30","Kansas","Franklin County",19.3
"31","Kansas","Geary County",16.3
"32","Kansas","Gove County",20.2
"33","Kansas","Graham County",22.4
"34","Kansas","Grant County",16.7
"35","Kansas","Gray County",15.7
"36","Kansas","Greeley County",20.2
"37","Kansas","Greenwood County",16.8
"38","Kansas","Hamilton County",18.6
"39","Kansas","Harper County",17.9
"40","Kansas","Harvey County",15.7
"41","Kansas","Haskell County",15.3
"42","Kansas","Hodgeman County",17.2
"43","Kansas","Jackson County",19
"44","Kansas","Jefferson County",20.7
"45","Kansas","Jewell County",19.5
"46","Kansas","Johnson County",19.6
"47","Kansas","Kansas",18.1
"48","Kansas","Kearny County",17.2
"49","Kansas","Kingman County",17.3
"50","Kansas","Kiowa County",16.7
"51","Kansas","Labette County",15.9
"52","Kansas","Lane County",21.3
"53","Kansas","Leavenworth County",18.8
"54","Kansas","Lincoln County",15.5
"55","Kansas","Linn County",17.8
"56","Kansas","Logan County",16.7
"57","Kansas","Lyon County",17.5
"58","Kansas","Marion County",14.9
"59","Kansas","Marshall County",21.3
"60","Kansas","McPherson County",16.2
"61","Kansas","Meade County",17.5
"62","Kansas","Miami County",19.3
"63","Kansas","Mitchell County",18.9
"64","Kansas","Montgomery County",15.7
"65","Kansas","Morris County",18.8
"66","Kansas","Morton County",16.9
"67","Kansas","Nemaha County",21.6
"68","Kansas","Neosho County",17.6
"69","Kansas","Ness County",21.1
"70","Kansas","Norton County",19.3
"71","Kansas","Osage County",18.2
"72","Kansas","Osborne County",16.7
"73","Kansas","Ottawa County",18.8
"74","Kansas","Pawnee County",19.1
"75","Kansas","Phillips County",19.2
"76","Kansas","Pottawatomie County",19.1
"77","Kansas","Pratt County",18.1
"78","Kansas","Rawlins County",24
"79","Kansas","Reno County",16.1
"80","Kansas","Republic County",20.9
"81","Kansas","Rice County",16.5
"82","Kansas","Riley County",18.5
"83","Kansas","Rooks County",21.4
"84","Kansas","Rush County",22.3
"85","Kansas","Russell County",20
"86","Kansas","Saline County",17.3
"87","Kansas","Scott County",17
"88","Kansas","Sedgwick County",15.9
"89","Kansas","Seward County",16.4
"90","Kansas","Shawnee County",18
"91","Kansas","Sheridan County",19.9
"92","Kansas","Sherman County",21.4
"93","Kansas","Smith County",17.2
"94","Kansas","Stafford County",16.1
"95","Kansas","Stanton County",17.3
"96","Kansas","Stevens County",16.3
"97","Kansas","Sumner County",17.9
"98","Kansas","Thomas County",21.4
"99","Kansas","Trego County",20.6
"100","Kansas","Wabaunsee County",18.4
"101","Kansas","Wallace County",18.5
"102","Kansas","Washington County",22.5
"103","Kansas","Wichita County",17.5
"104","Kansas","Wilson County",16.5
"105","Kansas","Woodson County",16.4
"106","Kansas","Wyandotte County",17.9
