"","state","location","both_sexes_2012"
"1","Kentucky","Adair County",11.4
"2","Kentucky","Allen County",11.3
"3","Kentucky","Anderson County",14.8
"4","Kentucky","Ballard County",9.4
"5","Kentucky","Barren County",10.6
"6","Kentucky","Bath County",10.3
"7","Kentucky","Bell County",9.2
"8","Kentucky","Boone County",19.3
"9","Kentucky","Bourbon County",14.5
"10","Kentucky","Boyd County",13.5
"11","Kentucky","Boyle County",13.3
"12","Kentucky","Bracken County",17.6
"13","Kentucky","Breathitt County",11.2
"14","Kentucky","Breckinridge County",13.1
"15","Kentucky","Bullitt County",15.1
"16","Kentucky","Butler County",8.7
"17","Kentucky","Caldwell County",9.2
"18","Kentucky","Calloway County",11.7
"19","Kentucky","Campbell County",27.3
"20","Kentucky","Carlisle County",10.3
"21","Kentucky","Carroll County",14.5
"22","Kentucky","Carter County",11.6
"23","Kentucky","Casey County",11
"24","Kentucky","Christian County",12.5
"25","Kentucky","Clark County",13.1
"26","Kentucky","Clay County",9.3
"27","Kentucky","Clinton County",11.1
"28","Kentucky","Crittenden County",9.7
"29","Kentucky","Cumberland County",11.8
"30","Kentucky","Daviess County",16.6
"31","Kentucky","Edmonson County",11.3
"32","Kentucky","Elliott County",12.2
"33","Kentucky","Estill County",10.7
"34","Kentucky","Fayette County",18.9
"35","Kentucky","Fleming County",12.9
"36","Kentucky","Floyd County",10.6
"37","Kentucky","Franklin County",16.1
"38","Kentucky","Fulton County",14.1
"39","Kentucky","Gallatin County",13.3
"40","Kentucky","Garrard County",11
"41","Kentucky","Grant County",10.7
"42","Kentucky","Graves County",10.8
"43","Kentucky","Grayson County",12.1
"44","Kentucky","Green County",9.1
"45","Kentucky","Greenup County",12
"46","Kentucky","Hancock County",10.6
"47","Kentucky","Hardin County",12.4
"48","Kentucky","Harlan County",10.8
"49","Kentucky","Harrison County",14.6
"50","Kentucky","Hart County",10.4
"51","Kentucky","Henderson County",14.4
"52","Kentucky","Henry County",13
"53","Kentucky","Hickman County",9.1
"54","Kentucky","Hopkins County",12.2
"55","Kentucky","Jackson County",10
"56","Kentucky","Jefferson County",18.6
"57","Kentucky","Jessamine County",13.5
"58","Kentucky","Johnson County",11.3
"59","Kentucky","Kenton County",24.4
"60","Kentucky","Kentucky",15.1
"61","Kentucky","Knott County",10.7
"62","Kentucky","Knox County",9.7
"63","Kentucky","Larue County",11
"64","Kentucky","Laurel County",10.5
"65","Kentucky","Lawrence County",11.3
"66","Kentucky","Lee County",10.1
"67","Kentucky","Leslie County",10.2
"68","Kentucky","Letcher County",10.3
"69","Kentucky","Lewis County",12.5
"70","Kentucky","Lincoln County",9.8
"71","Kentucky","Livingston County",10.7
"72","Kentucky","Logan County",11.3
"73","Kentucky","Lyon County",10.9
"74","Kentucky","Madison County",14.4
"75","Kentucky","Magoffin County",10.1
"76","Kentucky","Marion County",19.7
"77","Kentucky","Marshall County",11.8
"78","Kentucky","Martin County",9.8
"79","Kentucky","Mason County",18.7
"80","Kentucky","McCracken County",14.6
"81","Kentucky","McCreary County",9.4
"82","Kentucky","McLean County",11
"83","Kentucky","Meade County",14.8
"84","Kentucky","Menifee County",11.3
"85","Kentucky","Mercer County",10.9
"86","Kentucky","Metcalfe County",8.5
"87","Kentucky","Monroe County",9.3
"88","Kentucky","Montgomery County",14
"89","Kentucky","Morgan County",11
"90","Kentucky","Muhlenberg County",10.1
"91","Kentucky","Nelson County",19.9
"92","Kentucky","Nicholas County",13.4
"93","Kentucky","Ohio County",10.2
"94","Kentucky","Oldham County",15.6
"95","Kentucky","Owen County",10.7
"96","Kentucky","Owsley County",10.3
"97","Kentucky","Pendleton County",11.7
"98","Kentucky","Perry County",12.1
"99","Kentucky","Pike County",10.7
"100","Kentucky","Powell County",11.4
"101","Kentucky","Pulaski County",10.2
"102","Kentucky","Robertson County",12
"103","Kentucky","Rockcastle County",9.1
"104","Kentucky","Rowan County",13.8
"105","Kentucky","Russell County",10.8
"106","Kentucky","Scott County",13.8
"107","Kentucky","Shelby County",13.2
"108","Kentucky","Simpson County",11.8
"109","Kentucky","Spencer County",12.8
"110","Kentucky","Taylor County",11.6
"111","Kentucky","Todd County",8.6
"112","Kentucky","Trigg County",11.2
"113","Kentucky","Trimble County",10.8
"114","Kentucky","Union County",15.8
"115","Kentucky","Warren County",15.7
"116","Kentucky","Washington County",15.8
"117","Kentucky","Wayne County",9.1
"118","Kentucky","Webster County",11
"119","Kentucky","Whitley County",8.7
"120","Kentucky","Wolfe County",13.7
"121","Kentucky","Woodford County",17
