"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","631"
"1/1/2007","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","857"
"1/1/2007","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","1,619"
"1/1/2007","LA","LA-504","Baton Rouge CoC","Total Homeless","1,042"
"1/1/2007","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","313"
"1/1/2007","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","434"
"1/1/2007","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","188"
"1/1/2007","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","163"
"1/1/2007","LA","LA-509","Louisiana Balance of State","Total Homeless","247"
"1/1/2008","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","631"
"1/1/2008","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","1,042"
"1/1/2008","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","1,619"
"1/1/2008","LA","LA-504","Baton Rouge CoC","Total Homeless","1,006"
"1/1/2008","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","276"
"1/1/2008","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","522"
"1/1/2008","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","128"
"1/1/2008","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","163"
"1/1/2008","LA","LA-509","Louisiana Balance of State","Total Homeless","94"
"1/1/2009","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","731"
"1/1/2009","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","830"
"1/1/2009","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","8,725"
"1/1/2009","LA","LA-504","Baton Rouge CoC","Total Homeless","1,118"
"1/1/2009","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","228"
"1/1/2009","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","379"
"1/1/2009","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","151"
"1/1/2009","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","270"
"1/1/2009","LA","LA-509","Louisiana Balance of State","Total Homeless","72"
"1/1/2010","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","731"
"1/1/2010","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","830"
"1/1/2010","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","8,725"
"1/1/2010","LA","LA-504","Baton Rouge CoC","Total Homeless","1,118"
"1/1/2010","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","228"
"1/1/2010","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","357"
"1/1/2010","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","151"
"1/1/2010","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","270"
"1/1/2010","LA","LA-509","Louisiana Balance of State","Total Homeless","72"
"1/1/2011","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","577"
"1/1/2011","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","733"
"1/1/2011","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","6,687"
"1/1/2011","LA","LA-504","Baton Rouge CoC","Total Homeless","501"
"1/1/2011","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","227"
"1/1/2011","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","281"
"1/1/2011","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","208"
"1/1/2011","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","32"
"1/1/2011","LA","LA-509","Louisiana Balance of State","Total Homeless","45"
"1/1/2012","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","518"
"1/1/2012","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","804"
"1/1/2012","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","4,903"
"1/1/2012","LA","LA-504","Baton Rouge CoC","Total Homeless","741"
"1/1/2012","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","257"
"1/1/2012","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","276"
"1/1/2012","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","188"
"1/1/2012","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","7"
"1/1/2012","LA","LA-509","Louisiana Balance of State","Total Homeless","78"
"1/1/2013","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","542"
"1/1/2013","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","692"
"1/1/2013","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","2,337"
"1/1/2013","LA","LA-504","Baton Rouge CoC","Total Homeless","833"
"1/1/2013","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","200"
"1/1/2013","LA","LA-506","Slidell/Southeast Louisiana CoC","Total Homeless","276"
"1/1/2013","LA","LA-507","Alexandria/Central Louisiana CoC","Total Homeless","118"
"1/1/2013","LA","LA-508","Houma-Terrebonne/Thibodaux CoC","Total Homeless","125"
"1/1/2013","LA","LA-509","Louisiana Balance of State","Total Homeless","103"
"1/1/2014","LA","LA-500","Lafayette/Acadiana CoC","Total Homeless","471"
"1/1/2014","LA","LA-502","Shreveport/Bossier/Northwest CoC","Total Homeless","655"
"1/1/2014","LA","LA-503","New Orleans/Jefferson Parish CoC","Total Homeless","1,981"
"1/1/2014","LA","LA-504","Baton Rouge CoC","Total Homeless","665"
"1/1/2014","LA","LA-505","Monroe/Northeast Louisiana CoC","Total Homeless","220"
