"","state","location","both_sexes_2012"
"1","Louisiana","Acadia Parish",18.9
"2","Louisiana","Allen Parish",16
"3","Louisiana","Ascension Parish",20
"4","Louisiana","Assumption Parish",20.9
"5","Louisiana","Avoyelles Parish",18.9
"6","Louisiana","Beauregard Parish",13.3
"7","Louisiana","Bienville Parish",12.5
"8","Louisiana","Bossier Parish",15.4
"9","Louisiana","Caddo Parish",15.8
"10","Louisiana","Calcasieu Parish",18.1
"11","Louisiana","Caldwell Parish",12.8
"12","Louisiana","Cameron Parish",21.9
"13","Louisiana","Catahoula Parish",12.5
"14","Louisiana","Claiborne Parish",13.7
"15","Louisiana","Concordia Parish",13.9
"16","Louisiana","De Soto Parish",14.5
"17","Louisiana","East Baton Rouge Parish",16.4
"18","Louisiana","East Carroll Parish",13.8
"19","Louisiana","East Feliciana Parish",13.5
"20","Louisiana","Evangeline Parish",19.5
"21","Louisiana","Franklin Parish",12.2
"22","Louisiana","Grant Parish",13.6
"23","Louisiana","Iberia Parish",19.6
"24","Louisiana","Iberville Parish",16.4
"25","Louisiana","Jackson Parish",12.7
"26","Louisiana","Jefferson Davis Parish",20.5
"27","Louisiana","Jefferson Parish",20.8
"28","Louisiana","La Salle Parish",11.8
"29","Louisiana","Lafayette Parish",21.5
"30","Louisiana","Lafourche Parish",22.6
"31","Louisiana","Lincoln Parish",13.3
"32","Louisiana","Livingston Parish",15.7
"33","Louisiana","Louisiana",18.2
"34","Louisiana","Madison Parish",17.1
"35","Louisiana","Morehouse Parish",12.8
"36","Louisiana","Natchitoches Parish",14.8
"37","Louisiana","Orleans Parish",22.9
"38","Louisiana","Ouachita Parish",13.8
"39","Louisiana","Plaquemines Parish",21.8
"40","Louisiana","Pointe Coupee Parish",23
"41","Louisiana","Rapides Parish",14.7
"42","Louisiana","Red River Parish",15.2
"43","Louisiana","Richland Parish",11.5
"44","Louisiana","Sabine Parish",14.1
"45","Louisiana","St. Bernard Parish",20.8
"46","Louisiana","St. Charles Parish",20.4
"47","Louisiana","St. Helena Parish",14.1
"48","Louisiana","St. James Parish",23
"49","Louisiana","St. John the Baptist Parish",18
"50","Louisiana","St. Landry Parish",21.1
"51","Louisiana","St. Martin Parish",21.9
"52","Louisiana","St. Mary Parish",21.2
"53","Louisiana","St. Tammany Parish",18.4
"54","Louisiana","Tangipahoa Parish",15.7
"55","Louisiana","Tensas Parish",13.4
"56","Louisiana","Terrebonne Parish",21.8
"57","Louisiana","Union Parish",11.9
"58","Louisiana","Vermilion Parish",22.5
"59","Louisiana","Vernon Parish",14.9
"60","Louisiana","Washington Parish",13.9
"61","Louisiana","Webster Parish",13.2
"62","Louisiana","West Baton Rouge Parish",21
"63","Louisiana","West Carroll Parish",12.3
"64","Louisiana","West Feliciana Parish",15.7
"65","Louisiana","Winn Parish",12.6
