"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2012","MA","MA-500","Boston CoC","Total Homeless","5,607"
"1/1/2012","MA","MA-502","Lynn CoC","Total Homeless","414"
"1/1/2012","MA","MA-503","Cape Cod/Islands CoC","Total Homeless","364"
"1/1/2012","MA","MA-504","Springfield CoC","Total Homeless","2,444"
"1/1/2012","MA","MA-505","New Bedford CoC","Total Homeless","374"
"1/1/2012","MA","MA-506","Worcester City & County CoC","Total Homeless","1,572"
"1/1/2012","MA","MA-507","Pittsfield/Berkshire County CoC","Total Homeless","717"
"1/1/2012","MA","MA-508","Lowell CoC","Total Homeless","534"
"1/1/2012","MA","MA-509","Cambridge CoC","Total Homeless","485"
"1/1/2012","MA","MA-510","Gloucester/Haverhill/Salem/Essex County CoC","Total Homeless","993"
"1/1/2012","MA","MA-511","Quincy/Brockton/Weymouth/Plymouth City and County CoC","Total Homeless","1,424"
"1/1/2012","MA","MA-515","Fall River CoC","Total Homeless","307"
"1/1/2012","MA","MA-516","Massachusetts Balance of State","Total Homeless","1,739"
"1/1/2012","MA","MA-517","Somerville CoC","Total Homeless","145"
"1/1/2012","MA","MA-518","Brookline/Newton CoC","Total Homeless","133"
"1/1/2012","MA","MA-519","Attleboro/Taunton/Bristol County CoC","Total Homeless","249"
