"","state","location","both_sexes_2012"
"1","Maryland","Allegany County",18.2
"2","Maryland","Anne Arundel County",20.3
"3","Maryland","Baltimore City",22
"4","Maryland","Baltimore County",19.5
"5","Maryland","Calvert County",19.9
"6","Maryland","Caroline County",17.2
"7","Maryland","Carroll County",19.8
"8","Maryland","Cecil County",20.7
"9","Maryland","Charles County",16.4
"10","Maryland","Dorchester County",15.9
"11","Maryland","Frederick County",18.1
"12","Maryland","Garrett County",15.2
"13","Maryland","Harford County",20.2
"14","Maryland","Howard County",19.1
"15","Maryland","Kent County",20.8
"16","Maryland","Maryland",18.5
"17","Maryland","Montgomery County",17.2
"18","Maryland","Prince George's County",14.8
"19","Maryland","Queen Anne's County",24
"20","Maryland","Somerset County",15.7
"21","Maryland","St. Mary's County",19.5
"22","Maryland","Talbot County",19.2
"23","Maryland","Washington County",16.7
"24","Maryland","Wicomico County",17.4
"25","Maryland","Worcester County",23.2
