"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","ME","ME-500","Maine Balance of State CoC","Total Homeless","1,897"
"1/1/2007","ME","ME-502","Portland CoC","Total Homeless","741"
"1/1/2008","ME","ME-500","Maine Balance of State CoC","Total Homeless","1,903"
"1/1/2008","ME","ME-502","Portland CoC","Total Homeless","729"
"1/1/2009","ME","ME-500","Maine Balance of State CoC","Total Homeless","1,775"
"1/1/2009","ME","ME-502","Portland CoC","Total Homeless","669"
"1/1/2010","ME","ME-500","Maine Balance of State CoC","Total Homeless","1,743"
"1/1/2010","ME","ME-502","Portland CoC","Total Homeless","636"
"1/1/2011","ME","ME-500","Maine Balance of State CoC","Total Homeless","1,832"
"1/1/2011","ME","ME-502","Portland CoC","Total Homeless","615"
"1/1/2012","ME","ME-500","Maine Balance of State CoC","Total Homeless","1,762"
"1/1/2012","ME","ME-502","Portland CoC","Total Homeless","631"
"1/1/2013","ME","ME-500","Maine Balance of State CoC","Total Homeless","2,191"
"1/1/2013","ME","ME-502","Portland CoC","Total Homeless","825"
"1/1/2014","ME","ME-500","Maine Balance of State CoC","Total Homeless","1,940"
"1/1/2014","ME","ME-502","Portland CoC","Total Homeless","786"
"1/1/2015","ME","ME-500","Maine Balance of State CoC","Total Homeless","1,632"
"1/1/2015","ME","ME-502","Portland CoC","Total Homeless","740"
"1/1/2016","ME","ME-500","Maine Balance of State CoC","Total Homeless","1,482"
"1/1/2016","ME","ME-502","Portland CoC","Total Homeless","759"
