"","state","location","both_sexes_2012"
"1","Maine","Androscoggin County",19.9
"2","Maine","Aroostook County",19.3
"3","Maine","Cumberland County",22
"4","Maine","Franklin County",20.6
"5","Maine","Hancock County",19.7
"6","Maine","Kennebec County",18.6
"7","Maine","Knox County",18.2
"8","Maine","Lincoln County",19.6
"9","Maine","Maine",20.3
"10","Maine","Oxford County",20.2
"11","Maine","Penobscot County",18.5
"12","Maine","Piscataquis County",18.6
"13","Maine","Sagadahoc County",20
"14","Maine","Somerset County",19
"15","Maine","Waldo County",18.8
"16","Maine","Washington County",20.4
"17","Maine","York County",22.1
