"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","MI","MI-500","Michigan Balance of State CoC","Total Homeless","2,434"
"1/1/2007","MI","MI-501","Detroit CoC","Total Homeless","18,062"
"1/1/2007","MI","MI-502","Dearborn/Dearborn Heights/Westland/Wayne County CoC","Total Homeless","865"
"1/1/2007","MI","MI-503","St. Clair Shores/Warren/Macomb County CoC","Total Homeless","769"
"1/1/2007","MI","MI-504","Pontiac/Royal Oak/Oakland County CoC","Total Homeless","1,011"
"1/1/2007","MI","MI-505","Flint/Genesee County CoC","Total Homeless","354"
"1/1/2007","MI","MI-506","Grand Rapids/Wyoming/Kent County CoC","Total Homeless","912"
"1/1/2007","MI","MI-507","Portage/Kalamazoo City & County CoC","Total Homeless","614"
"1/1/2007","MI","MI-508","Lansing/East Lansing/Ingham County CoC","Total Homeless","408"
"1/1/2007","MI","MI-509","Ann Arbor/Washtenaw County CoC","Total Homeless","413"
"1/1/2007","MI","MI-510","Saginaw City & County CoC","Total Homeless","361"
"1/1/2007","MI","MI-511","Lenawee County CoC","Total Homeless","93"
"1/1/2007","MI","MI-512","Grand Traverse, Antrim, Leelanau Counties CoC","Total Homeless","241"
"1/1/2007","MI","MI-513","Marquette, Alger Counties CoC","Total Homeless","37"
"1/1/2007","MI","MI-514","Battle Creek/Calhoun County CoC","Total Homeless","205"
"1/1/2007","MI","MI-515","Monroe City & County CoC","Total Homeless","142"
"1/1/2007","MI","MI-516","Norton Shores/Muskegon City & County CoC","Total Homeless","332"
"1/1/2007","MI","MI-517","Jackson City & County CoC","Total Homeless","463"
"1/1/2007","MI","MI-518","Livingston County CoC","Total Homeless","63"
"1/1/2007","MI","MI-519","Holland/Ottawa County CoC","Total Homeless","319"
"1/1/2007","MI","MI-523","Eaton County CoC","Total Homeless","197"
"1/1/2008","MI","MI-500","Michigan Balance of State CoC","Total Homeless","2,355"
"1/1/2008","MI","MI-501","Detroit CoC","Total Homeless","18,062"
"1/1/2008","MI","MI-502","Dearborn/Dearborn Heights/Westland/Wayne County CoC","Total Homeless","865"
"1/1/2008","MI","MI-503","St. Clair Shores/Warren/Macomb County CoC","Total Homeless","769"
"1/1/2008","MI","MI-504","Pontiac/Royal Oak/Oakland County CoC","Total Homeless","1,011"
"1/1/2008","MI","MI-505","Flint/Genesee County CoC","Total Homeless","245"
"1/1/2008","MI","MI-506","Grand Rapids/Wyoming/Kent County CoC","Total Homeless","794"
"1/1/2008","MI","MI-507","Portage/Kalamazoo City & County CoC","Total Homeless","862"
"1/1/2008","MI","MI-508","Lansing/East Lansing/Ingham County CoC","Total Homeless","408"
"1/1/2008","MI","MI-509","Ann Arbor/Washtenaw County CoC","Total Homeless","413"
"1/1/2008","MI","MI-510","Saginaw City & County CoC","Total Homeless","361"
"1/1/2008","MI","MI-511","Lenawee County CoC","Total Homeless","93"
"1/1/2008","MI","MI-512","Grand Traverse, Antrim, Leelanau Counties CoC","Total Homeless","241"
"1/1/2008","MI","MI-513","Marquette, Alger Counties CoC","Total Homeless","37"
"1/1/2008","MI","MI-514","Battle Creek/Calhoun County CoC","Total Homeless","274"
"1/1/2008","MI","MI-515","Monroe City & County CoC","Total Homeless","142"
"1/1/2008","MI","MI-516","Norton Shores/Muskegon City & County CoC","Total Homeless","351"
"1/1/2008","MI","MI-517","Jackson City & County CoC","Total Homeless","414"
"1/1/2008","MI","MI-518","Livingston County CoC","Total Homeless","63"
"1/1/2008","MI","MI-519","Holland/Ottawa County CoC","Total Homeless","291"
"1/1/2008","MI","MI-523","Eaton County CoC","Total Homeless","197"
"1/1/2009","MI","MI-500","Michigan Balance of State CoC","Total Homeless","2,953"
"1/1/2009","MI","MI-501","Detroit CoC","Total Homeless","3,694"
"1/1/2009","MI","MI-502","Dearborn/Dearborn Heights/Westland/Wayne County CoC","Total Homeless","428"
"1/1/2009","MI","MI-503","St. Clair Shores/Warren/Macomb County CoC","Total Homeless","877"
"1/1/2009","MI","MI-504","Pontiac/Royal Oak/Oakland County CoC","Total Homeless","661"
"1/1/2009","MI","MI-505","Flint/Genesee County CoC","Total Homeless","275"
"1/1/2009","MI","MI-506","Grand Rapids/Wyoming/Kent County CoC","Total Homeless","868"
"1/1/2009","MI","MI-507","Portage/Kalamazoo City & County CoC","Total Homeless","985"
"1/1/2009","MI","MI-508","Lansing/East Lansing/Ingham County CoC","Total Homeless","416"
"1/1/2009","MI","MI-509","Ann Arbor/Washtenaw County CoC","Total Homeless","342"
"1/1/2009","MI","MI-510","Saginaw City & County CoC","Total Homeless","305"
"1/1/2009","MI","MI-511","Lenawee County CoC","Total Homeless","114"
"1/1/2009","MI","MI-512","Grand Traverse, Antrim, Leelanau Counties CoC","Total Homeless","281"
"1/1/2009","MI","MI-513","Marquette, Alger Counties CoC","Total Homeless","68"
"1/1/2009","MI","MI-514","Battle Creek/Calhoun County CoC","Total Homeless","238"
"1/1/2009","MI","MI-515","Monroe City & County CoC","Total Homeless","140"
"1/1/2009","MI","MI-516","Norton Shores/Muskegon City & County CoC","Total Homeless","466"
"1/1/2009","MI","MI-517","Jackson City & County CoC","Total Homeless","323"
"1/1/2009","MI","MI-518","Livingston County CoC","Total Homeless","121"
"1/1/2009","MI","MI-519","Holland/Ottawa County CoC","Total Homeless","299"
"1/1/2009","MI","MI-523","Eaton County CoC","Total Homeless","151"
