"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2012","MN","MN-500","Minneapolis/Hennepin County CoC","Total Homeless","3,285"
"1/1/2012","MN","MN-501","Saint Paul/Ramsey County CoC","Total Homeless","1,218"
"1/1/2012","MN","MN-502","Rochester/Southeast Minnesota CoC","Total Homeless","379"
"1/1/2012","MN","MN-503","Dakota, Anoka, Washington, Scott, Carver Counties","Total Homeless","853"
"1/1/2012","MN","MN-504","Northeast Minnesota CoC","Total Homeless","178"
"1/1/2012","MN","MN-505","St. Cloud/Central Minnesota CoC","Total Homeless","547"
"1/1/2012","MN","MN-506","Northwest Minnesota CoC","Total Homeless","301"
"1/1/2012","MN","MN-508","Moorhead/West Central Minnesota CoC","Total Homeless","254"
"1/1/2012","MN","MN-509","Duluth/St.Louis County CoC","Total Homeless","568"
"1/1/2012","MN","MN-511","Southwest Minnesota CoC","Total Homeless","161"
