"","state","location","both_sexes_2012"
"1","Minnesota","Aitkin County",25.3
"2","Minnesota","Anoka County",23.9
"3","Minnesota","Becker County",23.6
"4","Minnesota","Beltrami County",23.3
"5","Minnesota","Benton County",24
"6","Minnesota","Big Stone County",23.1
"7","Minnesota","Blue Earth County",24.6
"8","Minnesota","Brown County",26.9
"9","Minnesota","Carlton County",26.3
"10","Minnesota","Carver County",24.3
"11","Minnesota","Cass County",22.2
"12","Minnesota","Chippewa County",24.4
"13","Minnesota","Chisago County",23.6
"14","Minnesota","Clay County",25.3
"15","Minnesota","Clearwater County",23.6
"16","Minnesota","Cook County",21.7
"17","Minnesota","Cottonwood County",22.4
"18","Minnesota","Crow Wing County",24.3
"19","Minnesota","Dakota County",23.6
"20","Minnesota","Dodge County",24
"21","Minnesota","Douglas County",22.4
"22","Minnesota","Faribault County",27.1
"23","Minnesota","Fillmore County",23.9
"24","Minnesota","Freeborn County",24.9
"25","Minnesota","Goodhue County",25.3
"26","Minnesota","Grant County",23
"27","Minnesota","Hennepin County",23
"28","Minnesota","Houston County",27
"29","Minnesota","Hubbard County",24.4
"30","Minnesota","Isanti County",24.3
"31","Minnesota","Itasca County",24
"32","Minnesota","Jackson County",21.4
"33","Minnesota","Kanabec County",22.8
"34","Minnesota","Kandiyohi County",19.7
"35","Minnesota","Kittson County",20.6
"36","Minnesota","Koochiching County",26.6
"37","Minnesota","Lac qui Parle County",23.9
"38","Minnesota","Lake County",25
"39","Minnesota","Lake of the Woods County",21.6
"40","Minnesota","Le Sueur County",25.3
"41","Minnesota","Lincoln County",24.2
"42","Minnesota","Lyon County",23.4
"43","Minnesota","Mahnomen County",25.9
"44","Minnesota","Marshall County",28.2
"45","Minnesota","Martin County",22.8
"46","Minnesota","McLeod County",20.7
"47","Minnesota","Meeker County",23.6
"48","Minnesota","Mille Lacs County",23.6
"49","Minnesota","Minnesota",23.6
"50","Minnesota","Morrison County",30.6
"51","Minnesota","Mower County",24.9
"52","Minnesota","Murray County",25.1
"53","Minnesota","Nicollet County",24.7
"54","Minnesota","Nobles County",20.2
"55","Minnesota","Norman County",25.5
"56","Minnesota","Olmsted County",21.3
"57","Minnesota","Otter Tail County",23.3
"58","Minnesota","Pennington County",22.4
"59","Minnesota","Pine County",24
"60","Minnesota","Pipestone County",19.9
"61","Minnesota","Polk County",24
"62","Minnesota","Pope County",26.8
"63","Minnesota","Ramsey County",21.9
"64","Minnesota","Red Lake County",28.3
"65","Minnesota","Redwood County",24.7
"66","Minnesota","Renville County",25.1
"67","Minnesota","Rice County",23.9
"68","Minnesota","Rock County",21.9
"69","Minnesota","Roseau County",24
"70","Minnesota","Scott County",24.8
"71","Minnesota","Sherburne County",22.7
"72","Minnesota","Sibley County",23.6
"73","Minnesota","St. Louis County",26.7
"74","Minnesota","Stearns County",25.4
"75","Minnesota","Steele County",24.6
"76","Minnesota","Stevens County",23.6
"77","Minnesota","Swift County",24.8
"78","Minnesota","Todd County",22.7
"79","Minnesota","Traverse County",23.5
"80","Minnesota","Wabasha County",25.7
"81","Minnesota","Wadena County",21.9
"82","Minnesota","Waseca County",24.6
"83","Minnesota","Washington County",23.4
"84","Minnesota","Watonwan County",20.3
"85","Minnesota","Wilkin County",29.1
"86","Minnesota","Winona County",27.3
"87","Minnesota","Wright County",22.9
"88","Minnesota","Yellow Medicine County",21.9
