"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","MO","MO-500","St. Louis County CoC","Total Homeless","336"
"1/1/2007","MO","MO-501","St.Louis City CoC","Total Homeless","1,386"
"1/1/2007","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","498"
"1/1/2007","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","518"
"1/1/2007","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","306"
"1/1/2007","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","100"
"1/1/2007","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","1,786"
"1/1/2007","MO","MO-606","Missouri Balance of State CoC","Total Homeless","1,504"
"1/1/2008","MO","MO-500","St. Louis County CoC","Total Homeless","458"
"1/1/2008","MO","MO-501","St.Louis City CoC","Total Homeless","1,386"
"1/1/2008","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","593"
"1/1/2008","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","713"
"1/1/2008","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","380"
"1/1/2008","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","159"
"1/1/2008","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","2,260"
"1/1/2008","MO","MO-606","Missouri Balance of State CoC","Total Homeless","1,904"
"1/1/2009","MO","MO-500","St. Louis County CoC","Total Homeless","643"
"1/1/2009","MO","MO-501","St.Louis City CoC","Total Homeless","1,306"
"1/1/2009","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","830"
"1/1/2009","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","418"
"1/1/2009","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","322"
"1/1/2009","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","159"
"1/1/2009","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","1,809"
"1/1/2009","MO","MO-606","Missouri Balance of State CoC","Total Homeless","1,694"
"1/1/2010","MO","MO-500","St. Louis County CoC","Total Homeless","659"
"1/1/2010","MO","MO-501","St.Louis City CoC","Total Homeless","1,305"
"1/1/2010","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","1,089"
"1/1/2010","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","662"
"1/1/2010","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","393"
"1/1/2010","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","164"
"1/1/2010","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","2,153"
"1/1/2010","MO","MO-606","Missouri Balance of State CoC","Total Homeless","1,912"
"1/1/2011","MO","MO-500","St. Louis County CoC","Total Homeless","657"
"1/1/2011","MO","MO-501","St.Louis City CoC","Total Homeless","1,344"
"1/1/2011","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","1,003"
"1/1/2011","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","591"
"1/1/2011","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","457"
"1/1/2011","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","181"
"1/1/2011","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","2,992"
"1/1/2011","MO","MO-606","Missouri Balance of State CoC","Total Homeless","1,967"
"1/1/2012","MO","MO-500","St. Louis County CoC","Total Homeless","543"
"1/1/2012","MO","MO-501","St.Louis City CoC","Total Homeless","1,506"
"1/1/2012","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","1,023"
"1/1/2012","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","662"
"1/1/2012","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","1,724"
"1/1/2012","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","186"
"1/1/2012","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","2,705"
"1/1/2012","MO","MO-606","Missouri Balance of State CoC","Total Homeless","2,114"
"1/1/2013","MO","MO-500","St. Louis County CoC","Total Homeless","388"
"1/1/2013","MO","MO-501","St.Louis City CoC","Total Homeless","1,423"
"1/1/2013","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","940"
"1/1/2013","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","711"
"1/1/2013","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","574"
"1/1/2013","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","186"
"1/1/2013","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","2,691"
"1/1/2013","MO","MO-606","Missouri Balance of State CoC","Total Homeless","2,030"
"1/1/2014","MO","MO-500","St. Louis County CoC","Total Homeless","402"
"1/1/2014","MO","MO-501","St.Louis City CoC","Total Homeless","1,354"
"1/1/2014","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","896"
"1/1/2014","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","656"
"1/1/2014","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","315"
"1/1/2014","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","200"
"1/1/2014","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","2,193"
"1/1/2014","MO","MO-606","Missouri Balance of State CoC","Total Homeless","1,528"
"1/1/2015","MO","MO-500","St. Louis County CoC","Total Homeless","438"
"1/1/2015","MO","MO-501","St.Louis City CoC","Total Homeless","1,312"
"1/1/2015","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","803"
"1/1/2015","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","584"
"1/1/2015","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","258"
"1/1/2015","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","164"
"1/1/2015","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","1,686"
"1/1/2015","MO","MO-606","Missouri Balance of State CoC","Total Homeless","1,477"
"1/1/2016","MO","MO-500","St. Louis County CoC","Total Homeless","465"
"1/1/2016","MO","MO-501","St.Louis City CoC","Total Homeless","1,248"
"1/1/2016","MO","MO-503","St. Charles, Lincoln, Warren Counties CoC","Total Homeless","610"
"1/1/2016","MO","MO-600","Springfield/Greene, Christian, Webster Counties CoC","Total Homeless","496"
"1/1/2016","MO","MO-602","Joplin/Jasper, Newton Counties CoC","Total Homeless","297"
"1/1/2016","MO","MO-603","St. Joseph/Andrew, Buchanan, DeKalb Counties CoC","Total Homeless","195"
"1/1/2016","MO","MO-604a","Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS","Total Homeless","1,699"
"1/1/2016","MO","MO-606","Missouri Balance of State CoC","Total Homeless","1,431"
