"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","718"
"1/1/2007","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","385"
"1/1/2007","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","274"
"1/1/2008","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","1,302"
"1/1/2008","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","385"
"1/1/2008","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","274"
"1/1/2009","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","922"
"1/1/2009","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","1,242"
"1/1/2009","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","633"
"1/1/2010","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","914"
"1/1/2010","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","1,242"
"1/1/2010","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","587"
"1/1/2011","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","826"
"1/1/2011","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","951"
"1/1/2011","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","529"
"1/1/2012","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","1,037"
"1/1/2012","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","1,018"
"1/1/2012","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","358"
"1/1/2013","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","760"
"1/1/2013","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","1,052"
"1/1/2013","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","591"
"1/1/2014","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","846"
"1/1/2014","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","954"
"1/1/2014","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","426"
"1/1/2015","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","762"
"1/1/2015","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","809"
"1/1/2015","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","412"
"1/1/2016","MS","MS-500","Jackson/Rankin, Madison Counties CoC","Total Homeless","633"
"1/1/2016","MS","MS-501","Mississippi Balance of State CoC","Total Homeless","785"
"1/1/2016","MS","MS-503","Gulf Port/Gulf Coast Regional CoC","Total Homeless","320"
