"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","MT","MT-500","Montana Statewide CoC","Total Homeless","1,150"
"1/1/2008","MT","MT-500","Montana Statewide CoC","Total Homeless","1,417"
"1/1/2009","MT","MT-500","Montana Statewide CoC","Total Homeless","1,196"
"1/1/2010","MT","MT-500","Montana Statewide CoC","Total Homeless","1,615"
"1/1/2011","MT","MT-500","Montana Statewide CoC","Total Homeless","1,768"
"1/1/2012","MT","MT-500","Montana Statewide CoC","Total Homeless","1,833"
"1/1/2013","MT","MT-500","Montana Statewide CoC","Total Homeless","1,878"
"1/1/2014","MT","MT-500","Montana Statewide CoC","Total Homeless","1,745"
"1/1/2015","MT","MT-500","Montana Statewide CoC","Total Homeless","1,709"
"1/1/2016","MT","MT-500","Montana Statewide CoC","Total Homeless","1,418"
