"","state","location","both_sexes_2012"
"1","Massachusetts","Barnstable County",22.5
"2","Massachusetts","Berkshire County",23.5
"3","Massachusetts","Bristol County",20.5
"4","Massachusetts","Dukes County",23.8
"5","Massachusetts","Essex County",21.5
"6","Massachusetts","Franklin County",21.6
"7","Massachusetts","Hampden County",20.8
"8","Massachusetts","Hampshire County",22.2
"9","Massachusetts","Massachusetts",21.2
"10","Massachusetts","Middlesex County",20.8
"11","Massachusetts","Nantucket County",24.1
"12","Massachusetts","Norfolk County",21.3
"13","Massachusetts","Plymouth County",20.5
"14","Massachusetts","Suffolk County",21.3
"15","Massachusetts","Worcester County",21.3
