"","state","location","both_sexes_2012"
"1","Michigan","Alcona County",24.9
"2","Michigan","Alger County",26.6
"3","Michigan","Allegan County",20.4
"4","Michigan","Alpena County",24.6
"5","Michigan","Antrim County",23.7
"6","Michigan","Arenac County",25
"7","Michigan","Baraga County",25.8
"8","Michigan","Barry County",20.1
"9","Michigan","Bay County",26.8
"10","Michigan","Benzie County",22
"11","Michigan","Berrien County",18.5
"12","Michigan","Branch County",20.9
"13","Michigan","Calhoun County",19.5
"14","Michigan","Cass County",19.6
"15","Michigan","Charlevoix County",23.7
"16","Michigan","Cheboygan County",24.7
"17","Michigan","Chippewa County",26.5
"18","Michigan","Clare County",22.8
"19","Michigan","Clinton County",22.9
"20","Michigan","Crawford County",24.7
"21","Michigan","Delta County",30.3
"22","Michigan","Dickinson County",30
"23","Michigan","Eaton County",19.4
"24","Michigan","Emmet County",24.5
"25","Michigan","Genesee County",19.5
"26","Michigan","Gladwin County",22.9
"27","Michigan","Gogebic County",27.8
"28","Michigan","Grand Traverse County",23.9
"29","Michigan","Gratiot County",21.1
"30","Michigan","Hillsdale County",19.2
"31","Michigan","Houghton County",26.9
"32","Michigan","Huron County",24.1
"33","Michigan","Ingham County",21.5
"34","Michigan","Ionia County",21.9
"35","Michigan","Iosco County",23.9
"36","Michigan","Iron County",30.1
"37","Michigan","Isabella County",22.2
"38","Michigan","Jackson County",21.1
"39","Michigan","Kalamazoo County",19.9
"40","Michigan","Kalkaska County",22.6
"41","Michigan","Kent County",20
"42","Michigan","Keweenaw County",28.8
"43","Michigan","Lake County",22
"44","Michigan","Lapeer County",21.8
"45","Michigan","Leelanau County",24.2
"46","Michigan","Lenawee County",19.7
"47","Michigan","Livingston County",22.4
"48","Michigan","Luce County",23.9
"49","Michigan","Mackinac County",29.5
"50","Michigan","Macomb County",23.5
"51","Michigan","Manistee County",24.4
"52","Michigan","Marquette County",28
"53","Michigan","Mason County",23.1
"54","Michigan","Mecosta County",22.7
"55","Michigan","Menominee County",28.2
"56","Michigan","Michigan",21
"57","Michigan","Midland County",22
"58","Michigan","Missaukee County",20.9
"59","Michigan","Monroe County",21.6
"60","Michigan","Montcalm County",21.9
"61","Michigan","Montmorency County",22.7
"62","Michigan","Muskegon County",21.7
"63","Michigan","Newaygo County",20.3
"64","Michigan","Oakland County",19.8
"65","Michigan","Oceana County",23.8
"66","Michigan","Ogemaw County",24.2
"67","Michigan","Ontonagon County",33.3
"68","Michigan","Osceola County",20.7
"69","Michigan","Oscoda County",23
"70","Michigan","Otsego County",25.6
"71","Michigan","Ottawa County",21.4
"72","Michigan","Presque Isle County",27
"73","Michigan","Roscommon County",24.6
"74","Michigan","Saginaw County",22.3
"75","Michigan","Sanilac County",24.1
"76","Michigan","Schoolcraft County",30.1
"77","Michigan","Shiawassee County",22.1
"78","Michigan","St. Clair County",25.6
"79","Michigan","St. Joseph County",20.2
"80","Michigan","Tuscola County",21.6
"81","Michigan","Van Buren County",20.5
"82","Michigan","Washtenaw County",18.7
"83","Michigan","Wayne County",18.9
"84","Michigan","Wexford County",21.6
