"","state","location","both_sexes_2012"
"1","Mississippi","Adams County",16.5
"2","Mississippi","Alcorn County",9.7
"3","Mississippi","Amite County",11.3
"4","Mississippi","Attala County",11
"5","Mississippi","Benton County",9
"6","Mississippi","Bolivar County",14.6
"7","Mississippi","Calhoun County",9.3
"8","Mississippi","Carroll County",11.8
"9","Mississippi","Chickasaw County",9.7
"10","Mississippi","Choctaw County",10.1
"11","Mississippi","Claiborne County",15.9
"12","Mississippi","Clarke County",10.1
"13","Mississippi","Clay County",12.2
"14","Mississippi","Coahoma County",14.8
"15","Mississippi","Copiah County",11.2
"16","Mississippi","Covington County",10.9
"17","Mississippi","DeSoto County",15.1
"18","Mississippi","Forrest County",15.3
"19","Mississippi","Franklin County",10.9
"20","Mississippi","George County",10.9
"21","Mississippi","Greene County",11.6
"22","Mississippi","Grenada County",13.1
"23","Mississippi","Hancock County",18
"24","Mississippi","Harrison County",18.5
"25","Mississippi","Hinds County",15.4
"26","Mississippi","Holmes County",13.5
"27","Mississippi","Humphreys County",13.5
"28","Mississippi","Issaquena County",12.1
"29","Mississippi","Itawamba County",10.9
"30","Mississippi","Jackson County",17.8
"31","Mississippi","Jasper County",10.8
"32","Mississippi","Jefferson County",13.5
"33","Mississippi","Jefferson Davis County",12.3
"34","Mississippi","Jones County",11.8
"35","Mississippi","Kemper County",13
"36","Mississippi","Lafayette County",17.3
"37","Mississippi","Lamar County",12.4
"38","Mississippi","Lauderdale County",12.3
"39","Mississippi","Lawrence County",10.7
"40","Mississippi","Leake County",10.7
"41","Mississippi","Lee County",12.7
"42","Mississippi","Leflore County",14.6
"43","Mississippi","Lincoln County",10.5
"44","Mississippi","Lowndes County",12.3
"45","Mississippi","Madison County",15.1
"46","Mississippi","Marion County",11.5
"47","Mississippi","Marshall County",13.2
"48","Mississippi","Mississippi",13.6
"49","Mississippi","Monroe County",12
"50","Mississippi","Montgomery County",12.4
"51","Mississippi","Neshoba County",10.2
"52","Mississippi","Newton County",9.8
"53","Mississippi","Noxubee County",13.5
"54","Mississippi","Oktibbeha County",14.7
"55","Mississippi","Panola County",14.2
"56","Mississippi","Pearl River County",11.5
"57","Mississippi","Perry County",11.5
"58","Mississippi","Pike County",13
"59","Mississippi","Pontotoc County",10.4
"60","Mississippi","Prentiss County",9.6
"61","Mississippi","Quitman County",13.2
"62","Mississippi","Rankin County",12.6
"63","Mississippi","Scott County",11.3
"64","Mississippi","Sharkey County",12.5
"65","Mississippi","Simpson County",9.6
"66","Mississippi","Smith County",11.2
"67","Mississippi","Stone County",11.9
"68","Mississippi","Sunflower County",13.9
"69","Mississippi","Tallahatchie County",13
"70","Mississippi","Tate County",11.3
"71","Mississippi","Tippah County",9.6
"72","Mississippi","Tishomingo County",10.2
"73","Mississippi","Tunica County",14
"74","Mississippi","Union County",10.2
"75","Mississippi","Walthall County",10.9
"76","Mississippi","Warren County",13.6
"77","Mississippi","Washington County",13.6
"78","Mississippi","Wayne County",10.1
"79","Mississippi","Webster County",11
"80","Mississippi","Wilkinson County",13.3
"81","Mississippi","Winston County",10.7
"82","Mississippi","Yalobusha County",10.9
"83","Mississippi","Yazoo County",13.1
