"","state","location","both_sexes_2012"
"1","Missouri","Adair County",20.3
"2","Missouri","Andrew County",19.9
"3","Missouri","Atchison County",21.6
"4","Missouri","Audrain County",18.9
"5","Missouri","Barry County",15.7
"6","Missouri","Barton County",15.5
"7","Missouri","Bates County",17.2
"8","Missouri","Benton County",19
"9","Missouri","Bollinger County",19.2
"10","Missouri","Boone County",20.4
"11","Missouri","Buchanan County",19.6
"12","Missouri","Butler County",18.4
"13","Missouri","Caldwell County",18.7
"14","Missouri","Callaway County",20.7
"15","Missouri","Camden County",19.9
"16","Missouri","Cape Girardeau County",18.1
"17","Missouri","Carroll County",17.6
"18","Missouri","Carter County",16.9
"19","Missouri","Cass County",19.4
"20","Missouri","Cedar County",16.5
"21","Missouri","Chariton County",22.1
"22","Missouri","Christian County",15.1
"23","Missouri","Clark County",20.7
"24","Missouri","Clay County",20.7
"25","Missouri","Clinton County",20.1
"26","Missouri","Cole County",20.5
"27","Missouri","Cooper County",19.7
"28","Missouri","Crawford County",20.3
"29","Missouri","Dade County",13.6
"30","Missouri","Dallas County",16.5
"31","Missouri","Daviess County",17.3
"32","Missouri","DeKalb County",17.9
"33","Missouri","Dent County",17.1
"34","Missouri","Douglas County",16.4
"35","Missouri","Dunklin County",15.4
"36","Missouri","Franklin County",22.7
"37","Missouri","Gasconade County",21.1
"38","Missouri","Gentry County",18.2
"39","Missouri","Greene County",16.7
"40","Missouri","Grundy County",17
"41","Missouri","Harrison County",19.2
"42","Missouri","Henry County",18.2
"43","Missouri","Hickory County",17.6
"44","Missouri","Holt County",20.3
"45","Missouri","Howard County",19.9
"46","Missouri","Howell County",16.1
"47","Missouri","Iron County",18.3
"48","Missouri","Jackson County",18.2
"49","Missouri","Jasper County",15.3
"50","Missouri","Jefferson County",23.3
"51","Missouri","Johnson County",19.8
"52","Missouri","Knox County",19.5
"53","Missouri","Laclede County",15.9
"54","Missouri","Lafayette County",18.9
"55","Missouri","Lawrence County",15.3
"56","Missouri","Lewis County",18.6
"57","Missouri","Lincoln County",21.5
"58","Missouri","Linn County",21.6
"59","Missouri","Livingston County",18
"60","Missouri","Macon County",17.2
"61","Missouri","Madison County",17.5
"62","Missouri","Maries County",19.5
"63","Missouri","Marion County",19.2
"64","Missouri","McDonald County",15.7
"65","Missouri","Mercer County",17.5
"66","Missouri","Miller County",19.2
"67","Missouri","Mississippi County",13.9
"68","Missouri","Missouri",20
"69","Missouri","Moniteau County",17.9
"70","Missouri","Monroe County",20.7
"71","Missouri","Montgomery County",20.7
"72","Missouri","Morgan County",18.9
"73","Missouri","New Madrid County",15.6
"74","Missouri","Newton County",15.8
"75","Missouri","Nodaway County",21.5
"76","Missouri","Oregon County",15.7
"77","Missouri","Osage County",24.4
"78","Missouri","Ozark County",17.1
"79","Missouri","Pemiscot County",13.5
"80","Missouri","Perry County",23.3
"81","Missouri","Pettis County",18
"82","Missouri","Phelps County",18.9
"83","Missouri","Pike County",17.4
"84","Missouri","Platte County",21.2
"85","Missouri","Polk County",16.9
"86","Missouri","Pulaski County",16.9
"87","Missouri","Putnam County",17.6
"88","Missouri","Ralls County",21.4
"89","Missouri","Randolph County",19
"90","Missouri","Ray County",20
"91","Missouri","Reynolds County",16.3
"92","Missouri","Ripley County",17.8
"93","Missouri","Saline County",18.5
"94","Missouri","Schuyler County",19.3
"95","Missouri","Scotland County",19.1
"96","Missouri","Scott County",17.5
"97","Missouri","Shannon County",17.4
"98","Missouri","Shelby County",18.9
"99","Missouri","St. Charles County",22.7
"100","Missouri","St. Clair County",16.3
"101","Missouri","St. Francois County",18.1
"102","Missouri","St. Louis City",23.5
"103","Missouri","St. Louis County",23.2
"104","Missouri","Ste. Genevieve County",22.6
"105","Missouri","Stoddard County",18.5
"106","Missouri","Stone County",18.4
"107","Missouri","Sullivan County",17.9
"108","Missouri","Taney County",16.1
"109","Missouri","Texas County",14.3
"110","Missouri","Vernon County",16.9
"111","Missouri","Warren County",20.7
"112","Missouri","Washington County",19.9
"113","Missouri","Wayne County",18.5
"114","Missouri","Webster County",14.8
"115","Missouri","Worth County",16.1
"116","Missouri","Wright County",15.2
