"","state","location","both_sexes_2012"
"1","Montana","Beaverhead County",25.4
"2","Montana","Big Horn County",20.5
"3","Montana","Blaine County",26.8
"4","Montana","Broadwater County",24.2
"5","Montana","Carbon County",30
"6","Montana","Carter County",20.8
"7","Montana","Cascade County",23.4
"8","Montana","Chouteau County",28.4
"9","Montana","Custer County",20.9
"10","Montana","Daniels County",19.7
"11","Montana","Dawson County",22.8
"12","Montana","Deer Lodge County",31
"13","Montana","Fallon County",24
"14","Montana","Fergus County",25.2
"15","Montana","Flathead County",22.8
"16","Montana","Gallatin County",23.1
"17","Montana","Garfield County",28.3
"18","Montana","Glacier County",24.6
"19","Montana","Golden Valley County",30.1
"20","Montana","Granite County",27.9
"21","Montana","Hill County",26.1
"22","Montana","Jefferson County",25.3
"23","Montana","Judith Basin County",31.9
"24","Montana","Lake County",23.8
"25","Montana","Lewis and Clark County",22.5
"26","Montana","Liberty County",30
"27","Montana","Lincoln County",24.5
"28","Montana","Madison County",30.8
"29","Montana","McCone County",21.7
"30","Montana","Meagher County",31.5
"31","Montana","Mineral County",32.9
"32","Montana","Missoula County",24
"33","Montana","Montana",24
"34","Montana","Musselshell County",24.8
"35","Montana","Park County",27.3
"36","Montana","Petroleum County",32.6
"37","Montana","Phillips County",32.4
"38","Montana","Pondera County",20.6
"39","Montana","Powder River County",26.6
"40","Montana","Powell County",27.6
"41","Montana","Prairie County",25.8
"42","Montana","Ravalli County",20.6
"43","Montana","Richland County",23.4
"44","Montana","Roosevelt County",23.6
"45","Montana","Rosebud County",22.7
"46","Montana","Sanders County",24.1
"47","Montana","Sheridan County",21.3
"48","Montana","Silver Bow County",26.5
"49","Montana","Stillwater County",25.6
"50","Montana","Sweet Grass County",23.2
"51","Montana","Teton County",25
"52","Montana","Toole County",33.2
"53","Montana","Treasure County",27
"54","Montana","Valley County",28.1
"55","Montana","Wheatland County",26.6
"56","Montana","Wibaux County",18.2
"57","Montana","Yellowstone County",23.2
