"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","NC","NC-500","Winston Salem/Forsyth County CoC","Total Homeless","503"
"1/1/2007","NC","NC-501","Asheville/Buncombe County CoC","Total Homeless","635"
"1/1/2007","NC","NC-502","Durham City & County CoC","Total Homeless","539"
"1/1/2007","NC","NC-503","North Carolina Balance of State CoC","Total Homeless","2,610"
"1/1/2007","NC","NC-504","Greensboro/High Point CoC","Total Homeless","1,182"
"1/1/2007","NC","NC-505","Charlotte/Mecklenberg CoC","Total Homeless","1,976"
"1/1/2007","NC","NC-506","Wilmington/Brunswick, New Hanover, Pender Counties CoC","Total Homeless","628"
"1/1/2007","NC","NC-507","Raleigh/Wake County CoC","Total Homeless","1,043"
"1/1/2007","NC","NC-509","Gastonia/Cleveland, Gaston, Lincoln Counties CoC","Total Homeless","652"
"1/1/2007","NC","NC-511","Fayetteville/Cumberland County CoC","Total Homeless","757"
"1/1/2007","NC","NC-513","Chapel Hill/Orange County CoC","Total Homeless","208"
"1/1/2007","NC","NC-516","Northwest North Carolina CoC","Total Homeless","1,069"
"1/1/2008","NC","NC-500","Winston Salem/Forsyth County CoC","Total Homeless","452"
"1/1/2008","NC","NC-501","Asheville/Buncombe County CoC","Total Homeless","509"
"1/1/2008","NC","NC-502","Durham City & County CoC","Total Homeless","590"
"1/1/2008","NC","NC-503","North Carolina Balance of State CoC","Total Homeless","2,742"
"1/1/2008","NC","NC-504","Greensboro/High Point CoC","Total Homeless","987"
"1/1/2008","NC","NC-505","Charlotte/Mecklenberg CoC","Total Homeless","1,988"
"1/1/2008","NC","NC-506","Wilmington/Brunswick, New Hanover, Pender Counties CoC","Total Homeless","496"
"1/1/2008","NC","NC-507","Raleigh/Wake County CoC","Total Homeless","1,144"
"1/1/2008","NC","NC-509","Gastonia/Cleveland, Gaston, Lincoln Counties CoC","Total Homeless","920"
"1/1/2008","NC","NC-511","Fayetteville/Cumberland County CoC","Total Homeless","1,074"
"1/1/2008","NC","NC-513","Chapel Hill/Orange County CoC","Total Homeless","195"
"1/1/2008","NC","NC-516","Northwest North Carolina CoC","Total Homeless","1,314"
"1/1/2009","NC","NC-500","Winston Salem/Forsyth County CoC","Total Homeless","489"
"1/1/2009","NC","NC-501","Asheville/Buncombe County CoC","Total Homeless","518"
"1/1/2009","NC","NC-502","Durham City & County CoC","Total Homeless","536"
"1/1/2009","NC","NC-503","North Carolina Balance of State CoC","Total Homeless","2,821"
"1/1/2009","NC","NC-504","Greensboro/High Point CoC","Total Homeless","1,078"
"1/1/2009","NC","NC-505","Charlotte/Mecklenberg CoC","Total Homeless","2,594"
"1/1/2009","NC","NC-506","Wilmington/Brunswick, New Hanover, Pender Counties CoC","Total Homeless","630"
"1/1/2009","NC","NC-507","Raleigh/Wake County CoC","Total Homeless","1,152"
"1/1/2009","NC","NC-509","Gastonia/Cleveland, Gaston, Lincoln Counties CoC","Total Homeless","580"
"1/1/2009","NC","NC-511","Fayetteville/Cumberland County CoC","Total Homeless","965"
"1/1/2009","NC","NC-513","Chapel Hill/Orange County CoC","Total Homeless","156"
"1/1/2009","NC","NC-516","Northwest North Carolina CoC","Total Homeless","1,399"
"1/1/2010","NC","NC-500","Winston Salem/Forsyth County CoC","Total Homeless","543"
"1/1/2010","NC","NC-501","Asheville/Buncombe County CoC","Total Homeless","516"
