"","state","location","both_sexes_2012"
"1","North Carolina","Alamance County",14.4
"2","North Carolina","Alexander County",12.1
"3","North Carolina","Alleghany County",12
"4","North Carolina","Anson County",11.2
"5","North Carolina","Ashe County",11.4
"6","North Carolina","Avery County",12.5
"7","North Carolina","Beaufort County",14.5
"8","North Carolina","Bertie County",10.8
"9","North Carolina","Bladen County",11.5
"10","North Carolina","Brunswick County",17.7
"11","North Carolina","Buncombe County",15
"12","North Carolina","Burke County",12.4
"13","North Carolina","Cabarrus County",15.9
"14","North Carolina","Caldwell County",12.6
"15","North Carolina","Camden County",16.9
"16","North Carolina","Carteret County",17.9
"17","North Carolina","Caswell County",13.2
"18","North Carolina","Catawba County",14.1
"19","North Carolina","Chatham County",14.9
"20","North Carolina","Cherokee County",13.4
"21","North Carolina","Chowan County",13.3
"22","North Carolina","Clay County",12.2
"23","North Carolina","Cleveland County",12.4
"24","North Carolina","Columbus County",11.5
"25","North Carolina","Craven County",15.1
"26","North Carolina","Cumberland County",12.6
"27","North Carolina","Currituck County",17.3
"28","North Carolina","Dare County",20.1
"29","North Carolina","Davidson County",14.8
"30","North Carolina","Davie County",14.6
"31","North Carolina","Duplin County",12.6
"32","North Carolina","Durham County",14.2
"33","North Carolina","Edgecombe County",11.4
"34","North Carolina","Forsyth County",13.8
"35","North Carolina","Franklin County",11.9
"36","North Carolina","Gaston County",14.2
"37","North Carolina","Gates County",13.2
"38","North Carolina","Graham County",12
"39","North Carolina","Granville County",11.8
"40","North Carolina","Greene County",12.4
"41","North Carolina","Guilford County",14.7
"42","North Carolina","Halifax County",11.7
"43","North Carolina","Harnett County",12.6
"44","North Carolina","Haywood County",14.3
"45","North Carolina","Henderson County",14.7
"46","North Carolina","Hertford County",11.7
"47","North Carolina","Hoke County",12.7
"48","North Carolina","Hyde County",17.2
"49","North Carolina","Iredell County",15.4
"50","North Carolina","Jackson County",13.5
"51","North Carolina","Johnston County",13.4
"52","North Carolina","Jones County",16.4
"53","North Carolina","Lee County",12.5
"54","North Carolina","Lenoir County",12.5
"55","North Carolina","Lincoln County",14.7
"56","North Carolina","Macon County",13.6
"57","North Carolina","Madison County",10.9
"58","North Carolina","Martin County",12.1
"59","North Carolina","McDowell County",12.3
"60","North Carolina","Mecklenburg County",16.9
"61","North Carolina","Mitchell County",11.5
"62","North Carolina","Montgomery County",12.4
"63","North Carolina","Moore County",14.7
"64","North Carolina","Nash County",12.6
"65","North Carolina","New Hanover County",18.9
"66","North Carolina","North Carolina",14.5
"67","North Carolina","Northampton County",13
"68","North Carolina","Onslow County",14.5
"69","North Carolina","Orange County",17.5
"70","North Carolina","Pamlico County",15.4
"71","North Carolina","Pasquotank County",13.3
"72","North Carolina","Pender County",15
"73","North Carolina","Perquimans County",13.4
"74","North Carolina","Person County",13.1
"75","North Carolina","Pitt County",14.6
"76","North Carolina","Polk County",14.3
"77","North Carolina","Randolph County",14
"78","North Carolina","Richmond County",12.4
"79","North Carolina","Robeson County",11.1
"80","North Carolina","Rockingham County",12.6
"81","North Carolina","Rowan County",13.8
"82","North Carolina","Rutherford County",11.7
"83","North Carolina","Sampson County",11.7
"84","North Carolina","Scotland County",12.4
"85","North Carolina","Stanly County",13.3
"86","North Carolina","Stokes County",13
"87","North Carolina","Surry County",11.7
"88","North Carolina","Swain County",13.5
"89","North Carolina","Transylvania County",14.1
"90","North Carolina","Tyrrell County",13.3
"91","North Carolina","Union County",14.8
"92","North Carolina","Vance County",11.3
"93","North Carolina","Wake County",16.1
"94","North Carolina","Warren County",11.9
"95","North Carolina","Washington County",11.2
"96","North Carolina","Watauga County",14.7
"97","North Carolina","Wayne County",12.5
"98","North Carolina","Wilkes County",10.8
"99","North Carolina","Wilson County",13.2
"100","North Carolina","Yadkin County",12
"101","North Carolina","Yancey County",12.2
