"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","ND","ND-500","North Dakota Statewide CoC","Total Homeless","636"
"1/1/2008","ND","ND-500","North Dakota Statewide CoC","Total Homeless","615"
"1/1/2009","ND","ND-500","North Dakota Statewide CoC","Total Homeless","773"
"1/1/2010","ND","ND-500","North Dakota Statewide CoC","Total Homeless","799"
"1/1/2011","ND","ND-500","North Dakota Statewide CoC","Total Homeless","603"
"1/1/2012","ND","ND-500","North Dakota Statewide CoC","Total Homeless","688"
"1/1/2013","ND","ND-500","North Dakota Statewide CoC","Total Homeless","2,069"
"1/1/2014","ND","ND-500","North Dakota Statewide CoC","Total Homeless","1,258"
"1/1/2015","ND","ND-500","North Dakota Statewide CoC","Total Homeless","1,305"
"1/1/2016","ND","ND-500","North Dakota Statewide CoC","Total Homeless","923"
