"","state","location","both_sexes_2012"
"1","North Dakota","Adams County",32.2
"2","North Dakota","Barnes County",27
"3","North Dakota","Benson County",27.5
"4","North Dakota","Billings County",29.3
"5","North Dakota","Bottineau County",27.9
"6","North Dakota","Bowman County",32.8
"7","North Dakota","Burke County",33
"8","North Dakota","Burleigh County",24.6
"9","North Dakota","Cass County",24.7
"10","North Dakota","Cavalier County",32.7
"11","North Dakota","Dickey County",21.9
"12","North Dakota","Divide County",27.8
"13","North Dakota","Dunn County",31.8
"14","North Dakota","Eddy County",27.1
"15","North Dakota","Emmons County",29.2
"16","North Dakota","Foster County",22.4
"17","North Dakota","Golden Valley County",27.5
"18","North Dakota","Grand Forks County",24.6
"19","North Dakota","Grant County",25.7
"20","North Dakota","Griggs County",26.4
"21","North Dakota","Hettinger County",31.3
"22","North Dakota","Kidder County",29.8
"23","North Dakota","LaMoure County",31.1
"24","North Dakota","Logan County",32.9
"25","North Dakota","McHenry County",28.6
"26","North Dakota","McIntosh County",26.9
"27","North Dakota","McKenzie County",23.8
"28","North Dakota","McLean County",28.8
"29","North Dakota","Mercer County",27.4
"30","North Dakota","Morton County",26.7
"31","North Dakota","Mountrail County",26.6
"32","North Dakota","Nelson County",33.5
"33","North Dakota","North Dakota",26.2
"34","North Dakota","Oliver County",26
"35","North Dakota","Pembina County",27.6
"36","North Dakota","Pierce County",27.9
"37","North Dakota","Ramsey County",28.3
"38","North Dakota","Ransom County",29.3
"39","North Dakota","Renville County",34.2
"40","North Dakota","Richland County",28.5
"41","North Dakota","Rolette County",30.6
"42","North Dakota","Sargent County",32.6
"43","North Dakota","Sheridan County",22.8
"44","North Dakota","Sioux County",27.1
"45","North Dakota","Slope County",20.9
"46","North Dakota","Stark County",25.7
"47","North Dakota","Steele County",33.6
"48","North Dakota","Stutsman County",23.7
"49","North Dakota","Towner County",27.9
"50","North Dakota","Traill County",32.6
"51","North Dakota","Walsh County",32
"52","North Dakota","Ward County",26.1
"53","North Dakota","Wells County",22.4
"54","North Dakota","Williams County",28.1
