"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","695"
"1/1/2007","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,870"
"1/1/2007","NE","NE-502","Lincoln CoC","Total Homeless","966"
"1/1/2008","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","1,637"
"1/1/2008","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,197"
"1/1/2008","NE","NE-502","Lincoln CoC","Total Homeless","1,151"
"1/1/2009","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","1,483"
"1/1/2009","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,262"
"1/1/2009","NE","NE-502","Lincoln CoC","Total Homeless","973"
"1/1/2010","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","1,540"
"1/1/2010","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,429"
"1/1/2010","NE","NE-502","Lincoln CoC","Total Homeless","908"
"1/1/2011","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","1,121"
"1/1/2011","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,580"
"1/1/2011","NE","NE-502","Lincoln CoC","Total Homeless","847"
"1/1/2012","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","1,278"
"1/1/2012","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,530"
"1/1/2012","NE","NE-502","Lincoln CoC","Total Homeless","981"
"1/1/2013","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","713"
"1/1/2013","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,476"
"1/1/2013","NE","NE-502","Lincoln CoC","Total Homeless","956"
"1/1/2014","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","560"
"1/1/2014","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,630"
"1/1/2014","NE","NE-502","Lincoln CoC","Total Homeless","836"
"1/1/2015","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","549"
"1/1/2015","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,481"
"1/1/2015","NE","NE-502","Lincoln CoC","Total Homeless","714"
"1/1/2016","NE","NE-500","Nebraska Balance of State CoC","Total Homeless","551"
"1/1/2016","NE","NE-501","Omaha/Council Bluffs CoC","Total Homeless","1,509"
"1/1/2016","NE","NE-502","Lincoln CoC","Total Homeless","694"
