"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","1,300"
"1/1/2007","NH","NH-501","Manchester CoC","Total Homeless","504"
"1/1/2007","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","444"
"1/1/2008","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","986"
"1/1/2008","NH","NH-501","Manchester CoC","Total Homeless","576"
"1/1/2008","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","457"
"1/1/2009","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","769"
"1/1/2009","NH","NH-501","Manchester CoC","Total Homeless","508"
"1/1/2009","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","368"
"1/1/2010","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","813"
"1/1/2010","NH","NH-501","Manchester CoC","Total Homeless","415"
"1/1/2010","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","346"
"1/1/2011","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","808"
"1/1/2011","NH","NH-501","Manchester CoC","Total Homeless","350"
"1/1/2011","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","311"
"1/1/2012","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","761"
"1/1/2012","NH","NH-501","Manchester CoC","Total Homeless","399"
"1/1/2012","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","336"
"1/1/2013","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","759"
"1/1/2013","NH","NH-501","Manchester CoC","Total Homeless","382"
"1/1/2013","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","306"
"1/1/2014","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","689"
"1/1/2014","NH","NH-501","Manchester CoC","Total Homeless","407"
"1/1/2014","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","280"
"1/1/2015","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","718"
"1/1/2015","NH","NH-501","Manchester CoC","Total Homeless","400"
"1/1/2015","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","327"
"1/1/2016","NH","NH-500","New Hampshire Balance of State CoC","Total Homeless","670"
"1/1/2016","NH","NH-501","Manchester CoC","Total Homeless","400"
"1/1/2016","NH","NH-502","Nashua/Hillsborough County CoC","Total Homeless","296"
