"","state","location","both_sexes_2012"
"1","New Hampshire","Belknap County",20.5
"2","New Hampshire","Carroll County",20.6
"3","New Hampshire","Cheshire County",20.4
"4","New Hampshire","Coos County",22.3
"5","New Hampshire","Grafton County",20.2
"6","New Hampshire","Hillsborough County",18.7
"7","New Hampshire","Merrimack County",19
"8","New Hampshire","New Hampshire",20.1
"9","New Hampshire","Rockingham County",22.4
"10","New Hampshire","Strafford County",19.9
"11","New Hampshire","Sullivan County",19
