"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2012","NJ","NJ-500","Atlantic City & County CoC","Total Homeless","631"
"1/1/2012","NJ","NJ-501","Bergen County CoC","Total Homeless","454"
"1/1/2012","NJ","NJ-502","Burlington County CoC","Total Homeless","823"
"1/1/2012","NJ","NJ-503","Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC","Total Homeless","1,215"
"1/1/2012","NJ","NJ-504","Newark/Essex County CoC","Total Homeless","1,504"
"1/1/2012","NJ","NJ-506","Jersey City/Bayonne/Hudson County CoC","Total Homeless","2,087"
"1/1/2012","NJ","NJ-507","New Brunswick/Middlesex County CoC","Total Homeless","1,145"
"1/1/2012","NJ","NJ-508","Monmouth County CoC","Total Homeless","650"
"1/1/2012","NJ","NJ-509","Morris County CoC","Total Homeless","281"
"1/1/2012","NJ","NJ-510","Lakewood Township/Ocean County CoC","Total Homeless","649"
"1/1/2012","NJ","NJ-511","Paterson/Passaic County CoC","Total Homeless","518"
"1/1/2012","NJ","NJ-512","Salem County CoC","Total Homeless","78"
"1/1/2012","NJ","NJ-513","Somerset County CoC","Total Homeless","295"
"1/1/2012","NJ","NJ-514","Trenton/Mercer County CoC","Total Homeless","1,009"
"1/1/2012","NJ","NJ-515","Elizabeth/Union County CoC","Total Homeless","1,456"
"1/1/2012","NJ","NJ-516","Warren, Sussex, Hunterdon Counties CoC","Total Homeless","230"
