"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","NM","NM-500","Albuquerque CoC","Total Homeless","1,276"
"1/1/2007","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,739"
"1/1/2008","NM","NM-500","Albuquerque CoC","Total Homeless","1,276"
"1/1/2008","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,739"
"1/1/2009","NM","NM-500","Albuquerque CoC","Total Homeless","2,002"
"1/1/2009","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,473"
"1/1/2010","NM","NM-500","Albuquerque CoC","Total Homeless","2,002"
"1/1/2010","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,473"
"1/1/2011","NM","NM-500","Albuquerque CoC","Total Homeless","1,639"
"1/1/2011","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,962"
"1/1/2012","NM","NM-500","Albuquerque CoC","Total Homeless","1,431"
"1/1/2012","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,814"
"1/1/2013","NM","NM-500","Albuquerque CoC","Total Homeless","1,171"
"1/1/2013","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,648"
"1/1/2014","NM","NM-500","Albuquerque CoC","Total Homeless","1,254"
"1/1/2014","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,492"
"1/1/2015","NM","NM-500","Albuquerque CoC","Total Homeless","1,287"
"1/1/2015","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,342"
"1/1/2016","NM","NM-500","Albuquerque CoC","Total Homeless","1,222"
"1/1/2016","NM","NM-501","New Mexico Balance of State CoC","Total Homeless","1,041"
