"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","7,533"
"1/1/2007","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","863"
"1/1/2007","NV","NV-502","Nevada Balance of State CoC","Total Homeless","246"
"1/1/2008","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","7,533"
"1/1/2008","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","863"
"1/1/2008","NV","NV-502","Nevada Balance of State CoC","Total Homeless","330"
"1/1/2009","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","9,949"
"1/1/2009","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","700"
"1/1/2009","NV","NV-502","Nevada Balance of State CoC","Total Homeless","440"
"1/1/2010","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","9,949"
"1/1/2010","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","934"
"1/1/2010","NV","NV-502","Nevada Balance of State CoC","Total Homeless","322"
"1/1/2011","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","8,003"
"1/1/2011","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","850"
"1/1/2011","NV","NV-502","Nevada Balance of State CoC","Total Homeless","297"
"1/1/2012","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","7,323"
"1/1/2012","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","869"
"1/1/2012","NV","NV-502","Nevada Balance of State CoC","Total Homeless","305"
"1/1/2013","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","5,952"
"1/1/2013","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","746"
"1/1/2013","NV","NV-502","Nevada Balance of State CoC","Total Homeless","341"
"1/1/2014","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","7,443"
"1/1/2014","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","769"
"1/1/2014","NV","NV-502","Nevada Balance of State CoC","Total Homeless","370"
"1/1/2015","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","7,509"
"1/1/2015","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","907"
"1/1/2015","NV","NV-502","Nevada Balance of State CoC","Total Homeless","327"
"1/1/2016","NV","NV-500","Las Vegas/Clark County CoC","Total Homeless","6,208"
"1/1/2016","NV","NV-501","Reno/Sparks/Washoe County CoC","Total Homeless","989"
"1/1/2016","NV","NV-502","Nevada Balance of State CoC","Total Homeless","201"
