"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2012","NY","NY-500","Rochester/Irondequoit/Greece/Monroe County CoC","Total Homeless","699"
"1/1/2012","NY","NY-501","Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC","Total Homeless","305"
"1/1/2012","NY","NY-503","Albany City & County CoC","Total Homeless","590"
"1/1/2012","NY","NY-504","Cattaragus County CoC","Total Homeless","38"
"1/1/2012","NY","NY-505","Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC","Total Homeless","882"
"1/1/2012","NY","NY-506","Fulton, Montgomery, Schoharie Counties CoC","Total Homeless","72"
"1/1/2012","NY","NY-507","Schenectady City & County CoC","Total Homeless","287"
"1/1/2012","NY","NY-508","Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC","Total Homeless","1,183"
"1/1/2012","NY","NY-510","Ithaca/Tompkins County CoC","Total Homeless","68"
"1/1/2012","NY","NY-511","Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C","Total Homeless","292"
"1/1/2012","NY","NY-512","Troy/Rensselaer County CoC","Total Homeless","225"
"1/1/2012","NY","NY-513","Wayne, Ontario, Seneca, Yates Counties CoC","Total Homeless","121"
"1/1/2012","NY","NY-514","Jamestown/Dunkirk/Chautauqua County CoC","Total Homeless","33"
"1/1/2012","NY","NY-516","Clinton County CoC","Total Homeless","236"
"1/1/2012","NY","NY-518","Utica/Rome/Oneida, Madison Counties CoC","Total Homeless","176"
"1/1/2012","NY","NY-519","Columbia/Greene County CoC","Total Homeless","132"
"1/1/2012","NY","NY-520","Franklin County CoC","Total Homeless","14"
"1/1/2012","NY","NY-522","Jefferson/Lewis/St. Lawrence Counties CoC","Total Homeless","95"
"1/1/2012","NY","NY-523","Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC","Total Homeless","299"
"1/1/2012","NY","NY-600","New York City CoC","Total Homeless","56,672"
"1/1/2012","NY","NY-601","Poughkeepsie/Dutchess County CoC","Total Homeless","453"
"1/1/2012","NY","NY-602","Newburgh/Middletown/Orange County CoC","Total Homeless","502"
"1/1/2012","NY","NY-603","Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC","Total Homeless","3,359"
"1/1/2012","NY","NY-604","Yonkers/Mount Vernon/New Rochelle/Westchester CoC","Total Homeless","1,741"
"1/1/2012","NY","NY-606","Rockland County CoC","Total Homeless","107"
"1/1/2012","NY","NY-607","Sullivan County CoC","Total Homeless","630"
"1/1/2012","NY","NY-608","Kingston/Ulster County CoC","Total Homeless","355"
