"","state","location","both_sexes_2012"
"1","New York","Albany County",20.3
"2","New York","Allegany County",19.4
"3","New York","Bronx County",16.1
"4","New York","Broome County",21.9
"5","New York","Cattaraugus County",21.2
"6","New York","Cayuga County",21.2
"7","New York","Chautauqua County",20.4
"8","New York","Chemung County",20.5
"9","New York","Chenango County",21.1
"10","New York","Clinton County",21.6
"11","New York","Columbia County",21.3
"12","New York","Cortland County",22.2
"13","New York","Delaware County",20.5
"14","New York","Dutchess County",19.9
"15","New York","Erie County",21.9
"16","New York","Essex County",20.9
"17","New York","Franklin County",21.9
"18","New York","Fulton County",20.9
"19","New York","Genesee County",20.6
"20","New York","Greene County",20.4
"21","New York","Hamilton County",21.4
"22","New York","Herkimer County",22.2
"23","New York","Jefferson County",19.3
"24","New York","Kings County",16.5
"25","New York","Lewis County",19.8
"26","New York","Livingston County",20.9
"27","New York","Madison County",21
"28","New York","Monroe County",18.5
"29","New York","Montgomery County",20.9
"30","New York","Nassau County",19.4
"31","New York","New York",19.2
"32","New York","New York County",23
"33","New York","Niagara County",20.3
"34","New York","Oneida County",21.2
"35","New York","Onondaga County",21.3
"36","New York","Ontario County",20.9
"37","New York","Orange County",19.1
"38","New York","Orleans County",18.1
"39","New York","Oswego County",22.3
"40","New York","Otsego County",22.4
"41","New York","Putnam County",21.5
"42","New York","Queens County",16.3
"43","New York","Rensselaer County",20.5
"44","New York","Richmond County",19.8
"45","New York","Rockland County",17.8
"46","New York","Saratoga County",21
"47","New York","Schenectady County",19.8
"48","New York","Schoharie County",20.4
"49","New York","Schuyler County",22.3
"50","New York","Seneca County",19
"51","New York","St. Lawrence County",22.2
"52","New York","Steuben County",19.3
"53","New York","Suffolk County",20.3
"54","New York","Sullivan County",20.6
"55","New York","Tioga County",19.8
"56","New York","Tompkins County",21.1
"57","New York","Ulster County",21.1
"58","New York","Warren County",22.1
"59","New York","Washington County",19.8
"60","New York","Wayne County",19.5
"61","New York","Westchester County",18.7
"62","New York","Wyoming County",20.1
"63","New York","Yates County",22.3
