"","state","location","both_sexes_2012"
"1","Nebraska","Adams County",22.5
"2","Nebraska","Antelope County",23.2
"3","Nebraska","Arthur County",21.1
"4","Nebraska","Banner County",18.5
"5","Nebraska","Blaine County",17.3
"6","Nebraska","Boone County",26.3
"7","Nebraska","Box Butte County",20.9
"8","Nebraska","Boyd County",22.7
"9","Nebraska","Brown County",21.4
"10","Nebraska","Buffalo County",23.5
"11","Nebraska","Burt County",24.3
"12","Nebraska","Butler County",31.8
"13","Nebraska","Cass County",24.4
"14","Nebraska","Cedar County",26.6
"15","Nebraska","Chase County",17.8
"16","Nebraska","Cherry County",21
"17","Nebraska","Cheyenne County",22.8
"18","Nebraska","Clay County",21.6
"19","Nebraska","Colfax County",23.8
"20","Nebraska","Cuming County",24.4
"21","Nebraska","Custer County",21
"22","Nebraska","Dakota County",24.8
"23","Nebraska","Dawes County",20.5
"24","Nebraska","Dawson County",19
"25","Nebraska","Deuel County",19.2
"26","Nebraska","Dixon County",24.4
"27","Nebraska","Dodge County",23.5
"28","Nebraska","Douglas County",24.2
"29","Nebraska","Dundy County",21.4
"30","Nebraska","Fillmore County",27.4
"31","Nebraska","Franklin County",24.2
"32","Nebraska","Frontier County",20.2
"33","Nebraska","Furnas County",22
"34","Nebraska","Gage County",23.1
"35","Nebraska","Garden County",19.6
"36","Nebraska","Garfield County",27.3
"37","Nebraska","Gosper County",16.3
"38","Nebraska","Grant County",19
"39","Nebraska","Greeley County",30.6
"40","Nebraska","Hall County",21.9
"41","Nebraska","Hamilton County",23.5
"42","Nebraska","Harlan County",22.1
"43","Nebraska","Hayes County",24.9
"44","Nebraska","Hitchcock County",18.3
"45","Nebraska","Holt County",24.4
"46","Nebraska","Hooker County",19.5
"47","Nebraska","Howard County",23.9
"48","Nebraska","Jefferson County",23.9
"49","Nebraska","Johnson County",19.5
"50","Nebraska","Kearney County",21.5
"51","Nebraska","Keith County",22.9
"52","Nebraska","Keya Paha County",16.9
"53","Nebraska","Kimball County",19.1
"54","Nebraska","Knox County",27.3
"55","Nebraska","Lancaster County",23.3
"56","Nebraska","Lincoln County",21.4
"57","Nebraska","Logan County",23.8
"58","Nebraska","Loup County",20.7
"59","Nebraska","Madison County",25.4
"60","Nebraska","McPherson County",18.4
"61","Nebraska","Merrick County",24.3
"62","Nebraska","Morrill County",17.8
"63","Nebraska","Nance County",35.2
"64","Nebraska","Nebraska",23.4
"65","Nebraska","Nemaha County",23.3
"66","Nebraska","Nuckolls County",24.7
"67","Nebraska","Otoe County",24.7
"68","Nebraska","Pawnee County",28.6
"69","Nebraska","Perkins County",19.9
"70","Nebraska","Phelps County",20.1
"71","Nebraska","Pierce County",23.1
"72","Nebraska","Platte County",28.1
"73","Nebraska","Polk County",25.4
"74","Nebraska","Red Willow County",21.8
"75","Nebraska","Richardson County",21.2
"76","Nebraska","Rock County",21.6
"77","Nebraska","Saline County",24.3
"78","Nebraska","Sarpy County",22.1
"79","Nebraska","Saunders County",26.9
"80","Nebraska","Scotts Bluff County",17.2
"81","Nebraska","Seward County",21.6
"82","Nebraska","Sheridan County",22
"83","Nebraska","Sherman County",23.6
"84","Nebraska","Sioux County",22.8
"85","Nebraska","Stanton County",22.8
"86","Nebraska","Thayer County",19.4
"87","Nebraska","Thomas County",18.9
"88","Nebraska","Thurston County",21
"89","Nebraska","Valley County",25.5
"90","Nebraska","Washington County",25.5
"91","Nebraska","Wayne County",24.3
"92","Nebraska","Webster County",20.6
"93","Nebraska","Wheeler County",22
"94","Nebraska","York County",21.4
