"","state","location","both_sexes_2012"
"1","Nevada","Carson City",22.1
"2","Nevada","Churchill County",19.9
"3","Nevada","Clark County",17.2
"4","Nevada","Douglas County",20.9
"5","Nevada","Elko County",20.5
"6","Nevada","Esmeralda County",33.8
"7","Nevada","Eureka County",18.9
"8","Nevada","Humboldt County",20.2
"9","Nevada","Lander County",19.6
"10","Nevada","Lincoln County",16.2
"11","Nevada","Lyon County",20.4
"12","Nevada","Mineral County",20.4
"13","Nevada","Nevada",18.2
"14","Nevada","Nye County",21.1
"15","Nevada","Pershing County",20.1
"16","Nevada","Storey County",27.4
"17","Nevada","Washoe County",21
"18","Nevada","White Pine County",19.7
