"","state","location","both_sexes_2012"
"1","New Jersey","Atlantic County",19.1
"2","New Jersey","Bergen County",19.1
"3","New Jersey","Burlington County",18.6
"4","New Jersey","Camden County",18.4
"5","New Jersey","Cape May County",22
"6","New Jersey","Cumberland County",16
"7","New Jersey","Essex County",18.4
"8","New Jersey","Gloucester County",18.5
"9","New Jersey","Hudson County",19.9
"10","New Jersey","Hunterdon County",20.7
"11","New Jersey","Mercer County",17.9
"12","New Jersey","Middlesex County",17.2
"13","New Jersey","Monmouth County",22.6
"14","New Jersey","Morris County",20.5
"15","New Jersey","New Jersey",19.1
"16","New Jersey","Ocean County",20.6
"17","New Jersey","Passaic County",19.7
"18","New Jersey","Salem County",18.5
"19","New Jersey","Somerset County",17.1
"20","New Jersey","Sussex County",20.6
"21","New Jersey","Union County",17.7
"22","New Jersey","Warren County",19.4
