"","state","location","both_sexes_2012"
"1","New Mexico","Bernalillo County",15.9
"2","New Mexico","Catron County",18.2
"3","New Mexico","Chaves County",16.5
"4","New Mexico","Cibola County",17.5
"5","New Mexico","Colfax County",16.9
"6","New Mexico","Curry County",14.5
"7","New Mexico","De Baca County",12.4
"8","New Mexico","Dona Ana County",19
"9","New Mexico","Eddy County",15.4
"10","New Mexico","Grant County",20.1
"11","New Mexico","Guadalupe County",17.5
"12","New Mexico","Harding County",15.2
"13","New Mexico","Hidalgo County",17.9
"14","New Mexico","Lea County",16.6
"15","New Mexico","Lincoln County",16.9
"16","New Mexico","Los Alamos County",12.4
"17","New Mexico","Luna County",18.5
"18","New Mexico","McKinley County",16.7
"19","New Mexico","Mora County",18
"20","New Mexico","New Mexico",16.3
"21","New Mexico","Otero County",16
"22","New Mexico","Quay County",12.6
"23","New Mexico","Rio Arriba County",17.1
"24","New Mexico","Roosevelt County",14.3
"25","New Mexico","San Juan County",13.8
"26","New Mexico","San Miguel County",16.5
"27","New Mexico","Sandoval County",15.6
"28","New Mexico","Santa Fe County",16.7
"29","New Mexico","Sierra County",17.7
"30","New Mexico","Socorro County",18.3
"31","New Mexico","Taos County",17.6
"32","New Mexico","Torrance County",15.8
"33","New Mexico","Union County",18.9
"34","New Mexico","Valencia County",15
