"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,046"
"1/1/2007","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","745"
"1/1/2007","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","2,185"
"1/1/2007","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,373"
"1/1/2007","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","249"
"1/1/2007","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","785"
"1/1/2007","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","824"
"1/1/2007","OH","OH-507","Ohio Balance of State CoC","Total Homeless","3,521"
"1/1/2007","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","536"
"1/1/2008","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,116"
"1/1/2008","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","959"
"1/1/2008","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","2,242"
"1/1/2008","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,341"
"1/1/2008","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","236"
"1/1/2008","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","844"
"1/1/2008","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","740"
"1/1/2008","OH","OH-507","Ohio Balance of State CoC","Total Homeless","4,525"
"1/1/2008","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","909"
"1/1/2009","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,140"
"1/1/2009","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","945"
"1/1/2009","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","2,236"
"1/1/2009","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,359"
"1/1/2009","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","183"
"1/1/2009","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","837"
"1/1/2009","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","820"
"1/1/2009","OH","OH-507","Ohio Balance of State CoC","Total Homeless","4,770"
"1/1/2009","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","410"
"1/1/2010","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,006"
"1/1/2010","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","986"
"1/1/2010","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","2,278"
"1/1/2010","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,387"
"1/1/2010","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","183"
"1/1/2010","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","884"
"1/1/2010","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","859"
"1/1/2010","OH","OH-507","Ohio Balance of State CoC","Total Homeless","4,555"
"1/1/2010","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","431"
"1/1/2011","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,275"
"1/1/2011","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","1,096"
"1/1/2011","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","2,262"
"1/1/2011","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,418"
"1/1/2011","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","223"
"1/1/2011","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","986"
"1/1/2011","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","857"
"1/1/2011","OH","OH-507","Ohio Balance of State CoC","Total Homeless","4,431"
"1/1/2011","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","482"
"1/1/2012","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,654"
"1/1/2012","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","977"
"1/1/2012","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","2,191"
"1/1/2012","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,434"
"1/1/2012","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","224"
"1/1/2012","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","1,081"
"1/1/2012","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","813"
"1/1/2012","OH","OH-507","Ohio Balance of State CoC","Total Homeless","5,121"
"1/1/2012","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","482"
"1/1/2013","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,326"
"1/1/2013","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","900"
"1/1/2013","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","2,129"
"1/1/2013","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,488"
"1/1/2013","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","227"
"1/1/2013","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","1,041"
"1/1/2013","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","862"
"1/1/2013","OH","OH-507","Ohio Balance of State CoC","Total Homeless","3,830"
"1/1/2013","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","522"
"1/1/2014","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,043"
"1/1/2014","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","809"
"1/1/2014","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","2,103"
"1/1/2014","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,614"
"1/1/2014","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","256"
"1/1/2014","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","791"
"1/1/2014","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","870"
"1/1/2014","OH","OH-507","Ohio Balance of State CoC","Total Homeless","3,806"
"1/1/2014","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","531"
"1/1/2015","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,063"
"1/1/2015","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","564"
"1/1/2015","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","1,943"
"1/1/2015","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,721"
"1/1/2015","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","368"
"1/1/2015","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","971"
"1/1/2015","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","760"
"1/1/2015","OH","OH-507","Ohio Balance of State CoC","Total Homeless","3,320"
"1/1/2015","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","472"
"1/1/2016","OH","OH-500","Cincinnati/Hamilton County CoC","Total Homeless","1,116"
"1/1/2016","OH","OH-501","Toledo/Lucas County CoC","Total Homeless","599"
"1/1/2016","OH","OH-502","Cleveland/Cuyahoga County CoC","Total Homeless","1,697"
"1/1/2016","OH","OH-503","Columbus/Franklin County CoC","Total Homeless","1,724"
"1/1/2016","OH","OH-504","Youngstown/Mahoning County CoC","Total Homeless","346"
"1/1/2016","OH","OH-505","Dayton/Kettering/Montgomery County CoC","Total Homeless","751"
"1/1/2016","OH","OH-506","Akron/Barberton/Summit County CoC","Total Homeless","679"
"1/1/2016","OH","OH-507","Ohio Balance of State CoC","Total Homeless","3,032"
"1/1/2016","OH","OH-508","Canton/Massillon/Alliance/Stark County CoC","Total Homeless","460"
