"Year","State","CoC Number","CoC Name","Measures","Count"
"1/1/2007","OK","OK-500","North Central Oklahoma CoC","Total Homeless","212"
"1/1/2007","OK","OK-501","Tulsa City & County/Broken Arrow CoC","Total Homeless","666"
"1/1/2007","OK","OK-502","Oklahoma City CoC","Total Homeless","1,734"
"1/1/2007","OK","OK-503","Oklahoma Balance of State CoC","Total Homeless","231"
"1/1/2007","OK","OK-504","Norman/Cleveland County CoC","Total Homeless","594"
"1/1/2007","OK","OK-505","Northeast Oklahoma CoC","Total Homeless","305"
"1/1/2007","OK","OK-506","Southwest Oklahoma Regional CoC","Total Homeless","250"
"1/1/2007","OK","OK-507","Southeastern Oklahoma Regional CoC","Total Homeless","229"
"1/1/2008","OK","OK-500","North Central Oklahoma CoC","Total Homeless","241"
"1/1/2008","OK","OK-501","Tulsa City & County/Broken Arrow CoC","Total Homeless","729"
"1/1/2008","OK","OK-502","Oklahoma City CoC","Total Homeless","1,335"
"1/1/2008","OK","OK-503","Oklahoma Balance of State CoC","Total Homeless","157"
"1/1/2008","OK","OK-504","Norman/Cleveland County CoC","Total Homeless","578"
"1/1/2008","OK","OK-505","Northeast Oklahoma CoC","Total Homeless","370"
"1/1/2008","OK","OK-506","Southwest Oklahoma Regional CoC","Total Homeless","168"
"1/1/2008","OK","OK-507","Southeastern Oklahoma Regional CoC","Total Homeless","268"
"1/1/2009","OK","OK-500","North Central Oklahoma CoC","Total Homeless","316"
"1/1/2009","OK","OK-501","Tulsa City & County/Broken Arrow CoC","Total Homeless","826"
"1/1/2009","OK","OK-502","Oklahoma City CoC","Total Homeless","1,475"
"1/1/2009","OK","OK-503","Oklahoma Balance of State CoC","Total Homeless","340"
"1/1/2009","OK","OK-504","Norman/Cleveland County CoC","Total Homeless","585"
"1/1/2009","OK","OK-505","Northeast Oklahoma CoC","Total Homeless","635"
"1/1/2009","OK","OK-506","Southwest Oklahoma Regional CoC","Total Homeless","272"
"1/1/2009","OK","OK-507","Southeastern Oklahoma Regional CoC","Total Homeless","389"
"1/1/2010","OK","OK-500","North Central Oklahoma CoC","Total Homeless","323"
"1/1/2010","OK","OK-501","Tulsa City & County/Broken Arrow CoC","Total Homeless","905"
"1/1/2010","OK","OK-502","Oklahoma City CoC","Total Homeless","1,128"
"1/1/2010","OK","OK-503","Oklahoma Balance of State CoC","Total Homeless","324"
"1/1/2010","OK","OK-504","Norman/Cleveland County CoC","Total Homeless","565"
